,ISO3,Supply-BaU2,Supply-HalfW2,Iron- 5 (mg/day),Iron- 10 (mg/day),Iron- 15 (mg/day),IrL2030,IrM2030,IrH2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
103,NER,263153324822.9278,302676427426.1816,216679261866.6667,108339630933.33334,72150622272.66667,399140995031.4848,199570497515.7424,132901539019.83148,-154813693889.59445,-46474062956.26111,-191002702550.2611,-194336796492.84824,-85997165559.5149,-230525805153.5149,-63582827307.185394,135987670208.557,-130251785803.09631,-103105929910.43918,96464567605.30322,-169774888406.3501
104,NGA,1087756391974.6846,1279135892685.0508,2069060871335.3335,1034530435667.6667,688888148114.7778,3133520314564.721,1566760157282.3606,1043218760497.1746,-53225956307.01782,981304479360.6489,-398868243859.90674,-244605457017.38403,789924978650.2827,-590247744570.273,479003765307.676,2045763922590.0366,-44537631477.51001,287624264597.3098,1854384421879.6704,-235917132187.87622
105,NIC,31820849256.36434,36547773737.01738,75743431980.0,37871715990.0,25214347703.333332,87658144165.67702,43829072082.83851,29174540728.507877,6050866733.635658,43922582723.63566,-6606501553.03101,1323942252.9826202,39195658242.98262,-11333426033.684048,12008222826.474167,55837294909.312675,-2646308527.8564644,7281298345.821129,51110370428.65964,-7373233008.509502
106,NLD,188495910247.22128,236143386632.58813,200322831521.0,100161415760.5,66650312503.50001,200585592393.28064,100292796196.64032,66728813998.30012,-88334494486.72128,11826921273.778717,-121845597743.72128,-135981970872.08813,-35820555111.588135,-169493074129.08813,-88203114050.58096,12089682146.059357,-121767096248.92117,-135850590435.94781,-35557794239.307495,-169414572634.28802
107,NOR,27022664691.830906,32706155713.62921,61160361118.0,30580180559.0,20350530636.27778,69224397391.35178,34612198695.67589,23031473867.554535,3557515867.169094,34137696426.169094,-6672134055.553127,-2125975154.6292114,28454205404.37079,-12355625077.351433,7589534003.844982,42201732699.520874,-3991190824.276371,1906042982.0466766,36518241677.722565,-9674681846.074677
108,NPL,172210911732.75647,200204645573.65396,358468489030.99994,179234244515.49997,119331935970.38889,421984065005.7224,210992032502.8612,140455507977.5592,7023332782.7435,186257577298.24347,-52878975762.367584,-20970401058.15399,158263843457.34598,-80872709603.26508,38781120770.10474,249773153272.96594,-31755403755.197266,10787386929.207245,221779419432.06845,-59749137596.09476
109,NZL,41859917246.20517,53765118408.461716,54866795936.33333,27433397968.166664,18257847532.444447,60873989016.131165,30436994508.065582,20254039003.756374,-14426519278.038506,13006878690.128159,-23602069713.760723,-26331720440.29505,1101677527.8716125,-35507270876.01727,-11422922738.139587,19014071769.925995,-21605878242.448795,-23328123900.396133,7108870607.669449,-33511079404.70534
110,OMN,28880123713.065247,32529682120.81701,47112220507.66667,23556110253.833336,15676392961.055555,70019263615.20383,35009631807.60191,23293475259.110645,-5324013459.231911,18232096794.601425,-13203730752.009691,-8973571866.983673,14582538386.849663,-16853289159.761454,6129508094.536667,41139139902.13858,-5586648453.954601,2479949686.7849045,37489581494.38682,-9236206861.706364
111,PAK,1088102477560.6207,1230547000335.671,2261636221786.667,1130818110893.3335,752904367012.2223,3004412634054.432,1502206317027.216,1000040004610.7823,42715633332.71277,1173533744226.0464,-335198110548.39844,-99728889442.3374,1031089221450.9961,-477642633323.4486,414103839466.59534,1916310156493.8115,-88062472949.83838,271659316691.54517,1773865633718.7612,-230506995724.88855
112,PAN,16706926283.411907,18775736665.8126,48139347857.333336,24069673928.666668,16023397775.666668,59102823805.50682,29551411902.75341,19669238101.468792,7362747645.254761,31432421573.92143,-683528507.7452393,5293937262.854069,29363611191.520737,-2752338890.1459312,12844485619.341503,42395897522.09491,2962311818.056885,10775675236.940811,40327087139.69422,893501435.6561928
113,PER,242394297673.8049,283329504525.2077,385741240656.3334,192870620328.1667,128398550537.94444,451275299553.41565,225637649776.70782,150184808349.8832,-49523677345.638214,143346942982.52847,-113995747135.86046,-90458884197.04102,102411736131.12567,-154930953987.26324,-16756647897.097076,208881001879.61075,-92209489323.92169,-57691854748.49988,167945795028.20795,-133144696175.3245
114,PHL,526271537213.1596,604881674647.7876,1239403881328.6667,619701940664.3334,412574591281.8889,1548833579744.9438,774416789872.4719,515520827818.7916,93430403451.17377,713132344115.5071,-113696945931.27069,14820266016.545776,634522206680.8792,-192307083365.89868,248145252659.31232,1022562042531.7842,-10750709394.367981,169535115224.68433,943951905097.1562,-89360846828.99597
115,PNG,49103297364.64155,58768145791.74955,94382385591.66666,47191192795.83333,31420158068.222225,128297126209.71077,64148563104.855385,42706257749.680786,-1912104568.80822,45279088227.02511,-17683139296.419323,-11576952995.916222,35614239799.91711,-27347987723.527325,15045265740.213837,79193828845.06921,-6397039614.960762,5380417313.105835,69528980417.96121,-16061888042.068764
116,POL,334547156377.2713,430443722139.15656,460429752361.6667,230214876180.83334,153197321152.44446,425756093628.7068,212878046814.3534,141635953321.36304,-104332280196.43796,125882595984.39539,-181349835224.82684,-200228845958.3232,29986030222.51013,-277246400986.7121,-121669109562.91791,91208937251.43549,-192911203055.90826,-217565675324.80316,-4687628510.449768,-288807768817.7935
117,PRT,103641736777.32129,120028463230.22565,123823774716.0,61911887358.0,41197833933.5,110199385267.97644,55099692633.98822,36655467303.55392,-41729849419.32129,20182037938.67871,-62443902843.82129,-58116575872.22565,3795311485.774353,-78830629296.72565,-48542044143.33307,6557648490.655151,-66986269473.76737,-64928770596.23743,-9829077962.249207,-83372995926.67172
118,PRY,117664945600.7362,149070221261.61804,81338514400.66667,40669257200.333336,27075113732.944447,97365228964.45702,48682614482.22851,32406542333.02272,-76995688400.40286,-36326431200.069534,-90589831867.79176,-108400964061.2847,-67731706860.95137,-121995107528.6736,-68982331118.50769,-20299716636.27919,-85258403267.71349,-100387606779.38953,-51704992297.161026,-116663678928.59532
119,QAT,796041702.772954,971504988.0222365,27422634836.0,13711317418.0,9120156141.777779,37893748821.78241,18946874410.891205,12602779481.713795,12915275715.227047,26626593133.227047,8324114439.004825,12739812429.977764,26451129847.977764,8148651153.755542,18150832708.11825,37097707119.00945,11806737778.940842,17975369422.86897,36922243833.76017,11631274493.691559
120,ROU,158583245794.84885,231925189618.0372,239365649475.6667,119682824737.83334,79642330723.83334,212778833816.62482,106389416908.31241,70783380043.91115,-38900421057.0155,80782403680.81784,-78940915071.0155,-112242364880.20386,7440459857.629486,-152282858894.20386,-52193828886.53644,54195588021.77597,-87799865750.9377,-125535772709.7248,-19146355801.412384,-161141809574.12604
121,RUS,1679697757539.1584,2105945667925.396,1732254435446.3333,866127217723.1666,576405164481.2778,1660197429220.8076,830098714610.4038,552369406140.8334,-813570539815.9918,52556677907.174805,-1103292593057.8806,-1239818450202.2295,-373691232479.06274,-1529540503444.1182,-849599042928.7546,-19500328318.35083,-1127328351398.3252,-1275846953314.9922,-445748238704.5884,-1553576261784.5625
122,RWA,54549473231.293655,64647127636.532814,136944092650.66669,68472046325.33334,45595134349.5,198123131597.37097,99061565798.68549,65956411111.729904,13922573094.039688,82394619419.37303,-8954338881.793655,3824918688.8005295,72296965014.13388,-19051993287.032814,44512092567.39183,143573658366.07733,11406937880.436249,34414438162.15267,133476003960.83817,1309283475.1970901
123,SAU,218921873414.59482,241586621948.82407,382249621334.66675,191124810667.33337,127226147356.38889,481570367180.0753,240785183590.03766,160242464868.86215,-27797062747.261444,163327747920.07193,-91695726058.20593,-50461811281.49069,140662999385.84268,-114360474592.43518,21863310175.44284,262648493765.4805,-58679408545.732666,-801438358.7864075,239983745231.25125,-81344157079.96191
124,SEN,88582061849.70555,97991771815.62848,173298343405.6667,86649171702.83334,57701673945.66667,267251819776.1951,133625909888.09755,88973630900.73141,-1932890146.8722076,84716281555.96114,-30880387904.03888,-11342600112.795135,75306571590.03821,-40290097869.96181,45043848038.392,178669757926.48956,391569051.02586365,35634138072.46907,169260047960.56662,-9018140914.897064
125,SGP,32448239692.00531,34172355404.004055,68249277165.00001,34124638582.500004,22710402220.277775,74090852907.21503,37045426453.60751,24646180514.465233,1676398890.4946938,35801037472.9947,-9737837471.727535,-47716821.50405121,34076921760.995953,-11461953183.72628,4597186761.602203,41642613215.20972,-7802059177.540077,2873071049.6034584,39918497503.21097,-9526174889.538822
126,SLB,6567952828.751178,7551936026.735782,6959665824.0,3479832912.0,2317047735.9444447,9396367297.688084,4698183648.844042,3127807498.2656875,-3088119916.751178,391712995.2488222,-4250905092.806733,-4072103114.7357817,-592270202.7357817,-5234888290.791337,-1869769179.907136,2828414468.936906,-3440145330.4854903,-2853752377.89174,1844431270.952302,-4424128528.470095
127,SLE,24894348843.412914,29970975500.150276,84937079330.66666,42468539665.33333,28279962604.0,119151211985.02249,59575605992.511246,39667623204.50928,17574190821.920414,60042730487.25374,3385613760.5870857,12497564165.183052,54966103830.51638,-1691012896.1502762,34681257149.09833,94256863141.60957,14773274361.096363,29604630492.36097,89180236484.87222,9696647704.359001
128,SLV,33231450481.128784,37453530954.04897,79383053375.33333,39691526687.666664,26425249795.22222,84382891842.49503,42191445921.24751,28085179176.7442,6460076206.53788,46151602894.204544,-6806200685.906563,2237995733.617691,41929522421.284355,-11028281158.826752,8959995440.118729,51151441361.36624,-5146271304.3845825,4737914967.19854,46929360888.44605,-9368351777.304771
129,STP,1080746145.8897836,1288248262.9662676,2267655818.3333335,1133827909.1666667,755011458.7222222,3232320080.2017484,1616160040.1008742,1076086918.2064865,53081763.276883125,1186909672.4435499,-325734687.1675614,-154420353.79960084,979407555.3670659,-533236804.2440454,535413894.21109056,2151573934.311965,-4659227.683297157,327911777.1346066,1944071817.2354808,-212161344.75978112
130,SUR,1888770967.8098598,2269972260.600593,6821778752.0,3410889376.0,2270591497.1111116,7543073840.567596,3771536920.283798,2510255464.4442434,1522118408.1901402,4933007784.19014,381820529.3012519,1140917115.399407,4551806491.399406,619236.5105185509,1882765952.4739385,5654302872.757736,621484496.6343837,1501564659.6832051,5273101579.967003,240283203.84365034
131,SVK,56817668053.694855,73656020928.74403,66272811557.666664,33136405778.833332,22051579349.444447,63100207737.14854,31550103868.57427,20991916873.99077,-23681262274.861523,9455143503.97181,-34766088704.25041,-40519615149.910706,-7383209371.07737,-51604441579.29959,-25267564185.120586,6282539683.453682,-35825751179.70409,-42105917060.16977,-10555813191.595497,-52664104054.753265
132,SVN,13825575760.0911,17349523466.77543,24226900623.0,12113450311.5,8060341772.722222,23088869154.648808,11544434577.324404,7680242793.817831,-1712125448.5911007,10401324862.9089,-5765233987.368878,-5236073155.275429,6877377156.224571,-9289181694.053207,-2281141182.766697,9263293394.557707,-6145332966.27327,-5805088889.451025,5739345687.873379,-9669280672.957598
133,SWE,72699751680.13635,91202170218.78967,113050428389.33333,56525214194.666664,37614380417.16667,122950073531.3667,61475036765.68335,40905379487.279045,-16174537485.469688,40350676709.196976,-35085371262.96968,-34676956024.12301,21848258170.543655,-53587789801.623,-11224714914.453003,50250321851.23035,-31794372192.857307,-29727133453.106323,31747903312.577026,-50296790731.51063
134,SWZ,6142033294.064797,7313586562.20809,16082279819.0,8041139909.5,5354514590.944446,21080030310.85399,10540015155.426994,7017885370.402944,1899106615.4352026,9940246524.935204,-787518703.1203518,727553347.2919102,8768693256.79191,-1959071971.2636442,4397981861.362197,14937997016.789192,875852076.3381462,3226428593.2189045,13766443748.645899,-295701191.8051462
135,SYC,712479818.1584079,859696124.2013322,1154744465.3333335,577372232.6666667,384324053.0555556,1164759271.5620604,582379635.7810302,387548962.59405357,-135107585.49174118,442264647.17492557,-328155765.10285234,-282323891.53466547,295048341.1320013,-475372071.1457766,-130100182.37737775,452279453.4036524,-324930855.56435436,-277316488.42030203,305063147.36072814,-472147161.60727865
136,SYR,178800844914.11023,210367707444.46198,234724800059.99997,117362400029.99998,78138918568.77779,328709905629.17505,164354952814.58752,109412171155.30475,-61438444884.110245,55923955145.88974,-100661926345.33244,-93005307414.46199,24357092615.537994,-132228788875.68419,-14445892099.522705,149909060715.06482,-69388673758.80548,-46012754629.87445,118342198184.71307,-100955536289.15723
137,TGO,37221665026.99253,43112318044.96265,86419107494.33333,43209553747.166664,28772746970.77778,127478852393.70981,63739426196.854904,42439212415.817986,5987888720.174133,49197442467.3408,-8448918056.214752,97235702.20401764,43306789449.37068,-14339571074.184868,26517761169.862373,90257187366.71729,5217547388.825455,20627108151.892258,84366534348.74716,-673105629.144661
138,THA,350599402383.3823,415354061781.37866,860046441105.3334,430023220552.6667,286211298048.99994,823580331527.1559,411790165763.57794,273989557383.45682,79423818169.28436,509447038721.95105,-64388104334.382385,14669158771.288025,444692379323.9547,-129142763732.37872,61190763380.19562,472980929143.77356,-76609844999.9255,-3563896017.80072,408226269745.7772,-141364504397.92184
139,TON,1931670274.7576559,2198795607.4991994,1269935375.0000002,634967687.5000001,422742038.8333334,1454643324.2038338,727321662.1019169,484179325.77886575,-1296702587.2576556,-661734899.7576556,-1508928235.9243226,-1563827919.9991994,-928860232.4991992,-1776053568.665866,-1204348612.6557388,-477026950.55382204,-1447490948.97879,-1471473945.3972826,-744152283.2953656,-1714616281.7203336
140,TTO,8638237801.31263,9418330251.454218,16886643775.333334,8443321887.666667,5619883874.611113,16863974415.633093,8431987207.816546,5611389133.156594,-194915913.64596272,8248405974.020704,-3018353926.701517,-975008363.7875509,7468313523.879116,-3798446376.8431053,-206250593.49608326,8225736614.320463,-3026848668.1560354,-986343043.6376715,7445644164.178875,-3806941118.2976236
141,TUN,136243812153.72809,156991964137.1177,139829678114.66666,69914839057.33333,46542156021.11111,156481775415.8568,78240887707.9284,52072563221.48207,-66328973096.39476,3585865960.938568,-89701656132.61697,-87077125079.78438,-17162286022.45105,-110449808116.00659,-58002924445.79968,20237963262.128723,-84171248932.24602,-78751076429.1893,-510188721.2608948,-104919400915.63564
142,TUR,1133195387979.0334,1345106445940.6187,964121827019.3334,482060913509.6667,320902225679.7222,1082177125477.9639,541088562738.98193,360119966238.9707,-651134474469.3667,-169073560959.70007,-812293162299.3113,-863045532430.9519,-380984618921.2853,-1024204220260.8965,-592106825240.0515,-51018262501.06958,-773075421740.0627,-804017883201.6367,-262929320462.6548,-984986479701.648
143,TZA,479724513730.0913,562880480530.6438,612967805006.6666,306483902503.3333,204096421356.44446,995824832806.797,497912416403.3985,331546216052.9797,-173240611226.758,133243291276.57532,-275628092373.64685,-256396578027.3105,50087324476.02283,-358784059174.19934,18187902673.30719,516100319076.7057,-148178297677.11163,-64968064127.2453,432944352276.1532,-231334264477.66412
144,UGA,173920318454.63843,204702392669.94772,450264453938.3333,225132226969.16666,149929805321.61108,754793599751.9506,377396799875.9753,251310073625.29752,51211908514.52823,276344135483.6949,-23990513133.027344,20429834299.218933,245562061268.3856,-54772587348.33664,203476481421.33685,580873281297.3121,77389755170.65909,172694407206.02756,550091207082.0028,46607680955.34979
145,UKR,711360660046.5198,903363910934.1637,540356805265.3333,270178402632.66666,179794352292.77777,484541005060.57513,242270502530.28757,161200965168.8138,-441182257413.85315,-171003854781.18646,-531566307753.742,-633185508301.4971,-363007105668.8304,-723569558641.386,-469090157516.2322,-226819654985.94464,-550159694877.7059,-661093408403.8761,-418822905873.58856,-742162945765.3499
146,URY,64007973695.463234,80045759084.68597,40907638822.0,20453819411.0,13613334510.38889,42273228004.79469,21136614002.397346,14066316629.647308,-43554154284.463234,-23100334873.463234,-50394639185.07434,-59591939673.685974,-39138120262.685974,-66432424574.29709,-42871359693.06589,-21734745690.66854,-49941657065.815926,-58909145082.28863,-37772531079.89128,-65979442455.038666
147,USA,4891549095158.347,6205363113695.774,3793164551812.0005,1896582275906.0002,1262161511065.2222,4144147760270.048,2072073880135.024,1378864551100.037,-2994966819252.3467,-1098384543346.3462,-3629387584093.1245,-4308780837789.7744,-2412198561883.774,-4943201602630.553,-2819475215023.3228,-747401334888.2988,-3512684544058.3096,-4133289233560.7505,-2061215353425.7266,-4826498562595.737
148,VCT,1818581031.981959,2068772861.5537755,1367658771.6666665,683829385.8333333,455196232.8333333,1372180241.5002365,686090120.7501183,456620438.7030367,-1134751646.1486259,-450922260.3152926,-1363384799.1486259,-1384943475.7204423,-701114089.887109,-1613576628.7204423,-1132490911.2318408,-446400790.4817226,-1361960593.2789223,-1382682740.8036573,-696592620.053539,-1612152422.8507388
149,VEN,156956921152.22153,174674575651.45578,383650890085.00006,191825445042.50003,127702555130.27777,452742551382.16187,226371275691.08093,150675552779.61115,34868523890.2785,226693968932.77853,-29254366021.943756,17150869391.04425,208976314433.54428,-46972020521.17801,69414354538.8594,295785630229.9403,-6281368372.610382,51696700039.62515,278067975730.70605,-23999022871.844635
150,VUT,6020316338.54305,6975034589.874961,3145376525.6666665,1572688262.8333333,1047127184.0,4331086616.063292,2165543308.031646,1441666532.6870158,-4447628075.709717,-2874939812.8763833,-4973189154.54305,-5402346327.041628,-3829658064.2082944,-5927907405.874961,-3854773030.511404,-1689229722.4797583,-4578649805.856034,-4809491281.843315,-2643947973.8116693,-5533368057.187945
151,YEM,143431632757.32886,159491845488.00223,317015041959.6667,158507520979.83334,105546333744.27779,455954997188.9749,227977498594.48746,151787984197.49728,15075888222.504486,173583409202.33783,-37885299013.05107,-984324508.1688843,157523196471.66446,-53945511743.72444,84545865837.1586,312523364431.64606,8356351440.1684265,68485653106.48523,296463151700.97266,-7703861290.504944
152,ZAF,285269486719.89954,329174347926.0548,685088886198.9999,342544443099.49994,228052241070.33334,808165778826.6915,404082889413.34576,268989720154.65863,57274956379.6004,399819399479.10034,-57217245649.56619,13370095173.44513,355914538272.94507,-101122106855.72147,118813402693.44623,522896292106.792,-16279766565.240906,74908541487.29095,478991430900.6367,-60184627771.39618
153,ZMB,63854154273.507774,73125046892.36748,184930662798.6667,92465331399.33334,61575918302.16667,296991751335.18134,148495875667.59067,98881700817.30336,28611177125.82557,121076508525.1589,-2278235971.3411026,19340284506.965866,111805615906.29921,-11549128590.200806,84641721394.08289,233137597061.67355,35027546543.795586,75370828775.22319,223866704442.81384,25756653924.935883
154,ZWE,38921890212.15544,43646857170.10039,186977263715.6667,93488631857.83334,62257771618.55555,267367805155.31802,133683902577.65901,89012641261.5554,54566741645.6779,148055373503.51123,23335881406.40011,49841774687.732956,143330406545.56628,18610914448.455162,94762012365.50357,228445914943.1626,50090751049.39996,90037045407.55862,223720947985.21765,45365784091.45502
