,ISO3,Supply-BaU2,Supply-HalfW2,Protein (g/year),Pr2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
77,KEN,951077562146.2258,1077774775469.0186,671567860865.1172,1012407469185.5681,-279509701281.10864,-279509701281.10864,-279509701281.10864,-406206914603.90137,-406206914603.90137,-406206914603.90137,61329907039.342285,61329907039.342285,61329907039.342285,-65367306283.45044,-65367306283.45044,-65367306283.45044
78,KGZ,188699248574.73486,218623758302.6624,85720004226.14922,106318125675.59172,-102979244348.58565,-102979244348.58565,-102979244348.58565,-132903754076.5132,-132903754076.5132,-132903754076.5132,-82381122899.14314,-82381122899.14314,-82381122899.14314,-112305632627.0707,-112305632627.0707,-112305632627.0707
79,KHM,633206742314.1005,730676963034.9456,228921478594.13306,289179734148.34973,-404285263719.9674,-404285263719.9674,-404285263719.9674,-501755484440.8125,-501755484440.8125,-501755484440.8125,-344027008165.75073,-344027008165.75073,-344027008165.75073,-441497228886.5958,-441497228886.5958,-441497228886.5958
80,KIR,22160890618.859314,26454417825.31268,1921890745.4542925,2528512170.108325,-20238999873.40502,-20238999873.40502,-20238999873.40502,-24532527079.858387,-24532527079.858387,-24532527079.858387,-19632378448.750988,-19632378448.750988,-19632378448.750988,-23925905655.204353,-23925905655.204353,-23925905655.204353
81,KOR,1510308646481.6912,1739892243339.2144,816564254113.47,843161550560.9968,-693744392368.2212,-693744392368.2212,-693744392368.2212,-923327989225.7444,-923327989225.7444,-923327989225.7444,-667147095920.6943,-667147095920.6943,-667147095920.6943,-896730692778.2175,-896730692778.2175,-896730692778.2175
82,KWT,133210055962.83083,146231953366.12976,59591389777.59222,78753421846.59738,-73618666185.23862,-73618666185.23862,-73618666185.23862,-86640563588.53754,-86640563588.53754,-86640563588.53754,-54456634116.233444,-54456634116.233444,-54456634116.233444,-67478531519.53238,-67478531519.53238,-67478531519.53238
83,LBN,154372445875.76007,173830367047.65646,87183067311.01585,84890601767.70914,-67189378564.74422,-67189378564.74422,-67189378564.74422,-86647299736.64061,-86647299736.64061,-86647299736.64061,-69481844108.05093,-69481844108.05093,-69481844108.05093,-88939765279.94733,-88939765279.94733,-88939765279.94733
84,LBY,87018832637.6375,103224860316.94229,97923114265.85262,119688003031.34625,10904281628.215118,10904281628.215118,10904281628.215118,-5301746051.089676,-5301746051.089676,-5301746051.089676,32669170393.708755,32669170393.708755,32669170393.708755,16463142714.403961,16463142714.403961,16463142714.403961
85,LCA,5252616717.524859,5704602358.85447,3160947003.462198,3386306969.0261583,-2091669714.0626616,-2091669714.0626616,-2091669714.0626616,-2543655355.3922725,-2543655355.3922725,-2543655355.3922725,-1866309748.498701,-1866309748.498701,-1866309748.498701,-2318295389.828312,-2318295389.828312,-2318295389.828312
86,LKA,519409912268.0796,577815712350.0997,320359896849.6184,339883891290.992,-199050015418.46118,-199050015418.46118,-199050015418.46118,-257455815500.48132,-257455815500.48132,-257455815500.48132,-179526020977.0876,-179526020977.0876,-179526020977.0876,-237931821059.10773,-237931821059.10773,-237931821059.10773
87,LTU,155296711532.00067,232429423014.18503,55656018802.92335,50090645004.43186,-99640692729.07733,-99640692729.07733,-99640692729.07733,-176773404211.2617,-176773404211.2617,-176773404211.2617,-105206066527.56882,-105206066527.56882,-105206066527.56882,-182338778009.75317,-182338778009.75317,-182338778009.75317
88,LVA,72492158357.42046,117181677828.75865,37930503150.69991,32665555835.168495,-34561655206.72054,-34561655206.72054,-34561655206.72054,-79251174678.05875,-79251174678.05875,-79251174678.05875,-39826602522.25196,-39826602522.25196,-39826602522.25196,-84516121993.59015,-84516121993.59015,-84516121993.59015
89,MAR,1533063799964.8853,1788881634854.4358,542487121992.62537,660682367276.1663,-990576677972.2599,-990576677972.2599,-990576677972.2599,-1246394512861.8105,-1246394512861.8105,-1246394512861.8105,-872381432688.719,-872381432688.719,-872381432688.719,-1128199267578.2695,-1128199267578.2695,-1128199267578.2695
90,MDA,105149439695.93173,134059168481.68483,77835216452.59117,73964701566.5743,-27314223243.34056,-27314223243.34056,-27314223243.34056,-56223952029.09366,-56223952029.09366,-56223952029.09366,-31184738129.357437,-31184738129.357437,-31184738129.357437,-60094466915.110535,-60094466915.110535,-60094466915.110535
91,MDG,355404289782.53485,408231700827.26245,343856985168.7188,529973341182.3528,-11547304613.81604,-11547304613.81604,-11547304613.81604,-64374715658.54364,-64374715658.54364,-64374715658.54364,174569051399.81793,174569051399.81793,174569051399.81793,121741640355.09033,121741640355.09033,121741640355.09033
92,MDV,20487846900.381042,25741050938.370163,6326054761.372998,8158934980.2555065,-14161792139.008045,-14161792139.008045,-14161792139.008045,-19414996176.997166,-19414996176.997166,-19414996176.997166,-12328911920.125536,-12328911920.125536,-12328911920.125536,-17582115958.114655,-17582115958.114655,-17582115958.114655
93,MEX,4004246652103.0566,4536898968389.609,2132428915506.5505,2608667475963.774,-1871817736596.506,-1871817736596.506,-1871817736596.506,-2404470052883.0586,-2404470052883.0586,-2404470052883.0586,-1395579176139.2827,-1395579176139.2827,-1395579176139.2827,-1928231492425.8354,-1928231492425.8354,-1928231492425.8354
94,MKD,64507058529.793724,76003348315.96198,39668077019.53909,39723524117.32823,-24838981510.25463,-24838981510.25463,-24838981510.25463,-36335271296.42288,-36335271296.42288,-36335271296.42288,-24783534412.465492,-24783534412.465492,-24783534412.465492,-36279824198.63374,-36279824198.63374,-36279824198.63374
95,MLI,726181221123.0907,825467794022.6716,236297032425.5821,386608994431.0278,-489884188697.5086,-489884188697.5086,-489884188697.5086,-589170761597.0896,-589170761597.0896,-589170761597.0896,-339572226692.0629,-339572226692.0629,-339572226692.0629,-438858799591.64386,-438858799591.64386,-438858799591.64386
96,MLT,19470412306.418144,22224569356.708267,8161285418.065604,8393236525.864306,-11309126888.35254,-11309126888.35254,-11309126888.35254,-14063283938.642662,-14063283938.642662,-14063283938.642662,-11077175780.553837,-11077175780.553837,-11077175780.553837,-13831332830.84396,-13831332830.84396,-13831332830.84396
97,MNG,90539875993.73485,104130739509.72707,44093932175.56063,55097473170.169174,-46445943818.17422,-46445943818.17422,-46445943818.17422,-60036807334.166435,-60036807334.166435,-60036807334.166435,-35442402823.565674,-35442402823.565674,-35442402823.565674,-49033266339.55789,-49033266339.55789,-49033266339.55789
98,MRT,79684587056.14282,93022248200.8286,59700118044.29174,91303628879.54793,-19984469011.85108,-19984469011.85108,-19984469011.85108,-33322130156.536858,-33322130156.536858,-33322130156.536858,11619041823.405106,11619041823.405106,11619041823.405106,-1718619321.2806702,-1718619321.2806702,-1718619321.2806702
99,MUS,43191913379.96967,47072826772.50056,20886150418.0603,21551266800.738014,-22305762961.909374,-22305762961.909374,-22305762961.909374,-26186676354.440258,-26186676354.440258,-26186676354.440258,-21640646579.23166,-21640646579.23166,-21640646579.23166,-25521559971.762543,-25521559971.762543,-25521559971.762543
100,MWI,420640426378.2393,495601492049.0053,243497694960.135,390684099985.18567,-177142731418.1043,-177142731418.1043,-177142731418.1043,-252103797088.8703,-252103797088.8703,-252103797088.8703,-29956326393.05365,-29956326393.05365,-29956326393.05365,-104917392063.81964,-104917392063.81964,-104917392063.81964
101,MYS,924246629990.7072,1037606224378.1548,470958388189.72284,579869442505.8911,-453288241800.9843,-453288241800.9843,-453288241800.9843,-566647836188.4319,-566647836188.4319,-566647836188.4319,-344377187484.81604,-344377187484.81604,-344377187484.81604,-457736781872.2637,-457736781872.2637,-457736781872.2637
102,NAM,85586997279.01027,101507857309.79532,35552915186.76314,49818408886.331505,-50034082092.24713,-50034082092.24713,-50034082092.24713,-65954942123.03218,-65954942123.03218,-65954942123.03218,-35768588392.678764,-35768588392.678764,-35768588392.678764,-51689448423.46381,-51689448423.46381,-51689448423.46381
103,NER,886468255486.7125,1015287583858.017,262154197284.9276,483849135226.6289,-624314058201.7849,-624314058201.7849,-624314058201.7849,-753133386573.0894,-753133386573.0894,-753133386573.0894,-402619120260.0836,-402619120260.0836,-402619120260.0836,-531438448631.38806,-531438448631.38806,-531438448631.38806
104,NGA,4110161682209.041,4786582994818.598,2529975425682.018,3858321817703.3003,-1580186256527.023,-1580186256527.023,-1580186256527.023,-2256607569136.5796,-2256607569136.5796,-2256607569136.5796,-251839864505.74072,-251839864505.74072,-251839864505.74072,-928261177115.2974,-928261177115.2974,-928261177115.2974
105,NIC,140381822307.58035,163185859879.69656,101667242934.56198,123728326836.57959,-38714579373.01837,-38714579373.01837,-38714579373.01837,-61518616945.13458,-61518616945.13458,-61518616945.13458,-16653495471.000763,-16653495471.000763,-16653495471.000763,-39457533043.116974,-39457533043.116974,-39457533043.116974
106,NLD,900074786406.8665,1102536382501.9978,316694415055.8462,327628578027.23175,-583380371351.0203,-583380371351.0203,-583380371351.0203,-785841967446.1516,-785841967446.1516,-785841967446.1516,-572446208379.6348,-572446208379.6348,-572446208379.6348,-774907804474.7661,-774907804474.7661,-774907804474.7661
107,NOR,208622263071.93103,259263205082.88348,95191021522.58878,110272362840.83884,-113431241549.34225,-113431241549.34225,-113431241549.34225,-164072183560.2947,-164072183560.2947,-164072183560.2947,-98349900231.0922,-98349900231.0922,-98349900231.0922,-148990842242.04465,-148990842242.04465,-148990842242.04465
108,NPL,724393075499.946,829899858867.4347,426778900836.224,517117076041.63947,-297614174663.72205,-297614174663.72205,-297614174663.72205,-403120958031.2107,-403120958031.2107,-403120958031.2107,-207275999458.30658,-207275999458.30658,-207275999458.30658,-312782782825.7952,-312782782825.7952,-312782782825.7952
109,NZL,297391713332.8405,400193414536.96844,86689084705.2346,99025886745.39407,-210702628627.6059,-210702628627.6059,-210702628627.6059,-313504329831.7338,-313504329831.7338,-313504329831.7338,-198365826587.44644,-198365826587.44644,-198365826587.44644,-301167527791.57434,-301167527791.57434,-301167527791.57434
110,OMN,145284762291.53992,163850016089.516,61678424586.37794,94338083654.82556,-83606337705.16199,-83606337705.16199,-83606337705.16199,-102171591503.13806,-102171591503.13806,-102171591503.13806,-50946678636.714355,-50946678636.714355,-50946678636.714355,-69511932434.69043,-69511932434.69043,-69511932434.69043
111,PAK,4795351115293.487,5412128533303.315,2721854039934.5967,3678654544121.6143,-2073497075358.8906,-2073497075358.8906,-2073497075358.8906,-2690274493368.7188,-2690274493368.7188,-2690274493368.7188,-1116696571171.873,-1116696571171.873,-1116696571171.873,-1733473989181.7012,-1733473989181.7012,-1733473989181.7012
112,PAN,94579763844.47978,106683952520.94058,66673235815.69567,85080930552.35269,-27906528028.78411,-27906528028.78411,-27906528028.78411,-40010716705.24491,-40010716705.24491,-40010716705.24491,-9498833292.12709,-9498833292.12709,-9498833292.12709,-21603021968.58789,-21603021968.58789,-21603021968.58789
113,PER,1321431685088.6323,1530442903904.2588,530667304977.6562,646657667805.1366,-790764380110.9761,-790764380110.9761,-790764380110.9761,-999775598926.6025,-999775598926.6025,-999775598926.6025,-674774017283.4957,-674774017283.4957,-674774017283.4957,-883785236099.1222,-883785236099.1222,-883785236099.1222
114,PHL,2415689945248.5103,2760138639267.435,1499856798914.809,1912090644711.1057,-915833146333.7012,-915833146333.7012,-915833146333.7012,-1260281840352.626,-1260281840352.626,-1260281840352.626,-503599300537.40454,-503599300537.40454,-503599300537.40454,-848047994556.3293,-848047994556.3293,-848047994556.3293
115,PNG,181922033684.02338,215648308155.0084,134104229031.53188,187163287011.50082,-47817804652.4915,-47817804652.4915,-47817804652.4915,-81544079123.47652,-81544079123.47652,-81544079123.47652,5241253327.4774475,5241253327.4774475,5241253327.4774475,-28485021143.50757,-28485021143.50757,-28485021143.50757
116,POL,1505936722646.6396,1877211916041.8586,727202566095.7517,695073704522.196,-778734156550.888,-778734156550.888,-778734156550.888,-1150009349946.107,-1150009349946.107,-1150009349946.107,-810863018124.4436,-810863018124.4436,-810863018124.4436,-1182138211519.6626,-1182138211519.6626,-1182138211519.6626
117,PRT,510922054420.97217,581588292146.5803,196546855199.46527,185220158238.4282,-314375199221.5069,-314375199221.5069,-314375199221.5069,-385041436947.11505,-385041436947.11505,-385041436947.11505,-325701896182.54395,-325701896182.54395,-325701896182.54395,-396368133908.1521,-396368133908.1521,-396368133908.1521
118,PRY,439396495335.1522,558341410593.5718,110808828387.06862,136177277625.9432,-328587666948.0836,-328587666948.0836,-328587666948.0836,-447532582206.5032,-447532582206.5032,-447532582206.5032,-303219217709.209,-303219217709.209,-303219217709.209,-422164132967.62854,-422164132967.62854,-422164132967.62854
119,QAT,6770621008.751053,7953679551.345503,38859050792.859344,53465972331.683784,32088429784.10829,32088429784.10829,32088429784.10829,30905371241.51384,30905371241.51384,30905371241.51384,46695351322.93273,46695351322.93273,46695351322.93273,45512292780.33828,45512292780.33828,45512292780.33828
120,ROU,763178960726.1478,1032101516661.1893,378080760948.8335,349474216216.28687,-385098199777.31433,-385098199777.31433,-385098199777.31433,-654020755712.3558,-654020755712.3558,-654020755712.3558,-413704744509.86096,-413704744509.86096,-413704744509.86096,-682627300444.9025,-682627300444.9025,-682627300444.9025
121,RUS,7708592517826.776,9350120420822.783,2717775294043.1226,2625594146802.8306,-4990817223783.654,-4990817223783.654,-4990817223783.654,-6632345126779.66,-6632345126779.66,-6632345126779.66,-5082998371023.945,-5082998371023.945,-5082998371023.945,-6724526274019.953,-6724526274019.953,-6724526274019.953
122,RWA,212469637908.72394,250928322847.49948,165922507326.6057,243701870482.38324,-46547130582.118225,-46547130582.118225,-46547130582.118225,-85005815520.89377,-85005815520.89377,-85005815520.89377,31232232573.6593,31232232573.6593,31232232573.6593,-7226452365.116241,-7226452365.116241,-7226452365.116241
123,SAU,978344894516.0486,1080870888040.631,473203202413.8453,623843394672.4407,-505141692102.2033,-505141692102.2033,-505141692102.2033,-607667685626.7856,-607667685626.7856,-607667685626.7856,-354501499843.6079,-354501499843.6079,-354501499843.6079,-457027493368.1903,-457027493368.1903,-457027493368.1903
124,SEN,472791184702.3911,530317686286.9199,209389654138.30063,327788963260.11676,-263401530564.09048,-263401530564.09048,-263401530564.09048,-320928032148.61926,-320928032148.61926,-320928032148.61926,-145002221442.27435,-145002221442.27435,-145002221442.27435,-202528723026.80316,-202528723026.80316,-202528723026.80316
125,SGP,159517771763.45377,171054540932.9811,88047841269.83253,102322900778.05544,-71469930493.62123,-71469930493.62123,-71469930493.62123,-83006699663.14857,-83006699663.14857,-83006699663.14857,-57194870985.39833,-57194870985.39833,-57194870985.39833,-68731640154.92567,-68731640154.92567,-68731640154.92567
126,SLB,21461713678.93477,25314777946.02375,9731111808.781584,13628801564.14378,-11730601870.153185,-11730601870.153185,-11730601870.153185,-15583666137.242167,-15583666137.242167,-15583666137.242167,-7832912114.790989,-7832912114.790989,-7832912114.790989,-11685976381.87997,-11685976381.87997,-11685976381.87997
127,SLE,153384490066.21173,182075380692.25894,102692897380.90778,145811642551.62308,-50691592685.303955,-50691592685.303955,-50691592685.303955,-79382483311.35117,-79382483311.35117,-79382483311.35117,-7572847514.588654,-7572847514.588654,-7572847514.588654,-36263738140.635864,-36263738140.635864,-36263738140.635864
128,SLV,151297382303.9151,169668581355.12668,107072601887.2606,118702551037.85855,-44224780416.654495,-44224780416.654495,-44224780416.654495,-62595979467.86607,-62595979467.86607,-62595979467.86607,-32594831266.05655,-32594831266.05655,-32594831266.05655,-50966030317.26813,-50966030317.26813,-50966030317.26813
129,STP,3243708403.893731,3919520986.6086397,2746334049.6009526,3976014161.0003366,-497374354.2927785,-497374354.2927785,-497374354.2927785,-1173186937.007687,-1173186937.007687,-1173186937.007687,732305757.1066055,732305757.1066055,732305757.1066055,56493174.39169693,56493174.39169693,56493174.39169693
130,SUR,20507926617.694054,23956300746.310497,9486375676.906584,10899818696.304712,-11021550940.78747,-11021550940.78747,-11021550940.78747,-14469925069.403913,-14469925069.403913,-14469925069.403913,-9608107921.389341,-9608107921.389341,-9608107921.389341,-13056482050.005785,-13056482050.005785,-13056482050.005785
131,SVK,235200132365.22018,297155590956.4895,103807901661.3296,102564583070.52788,-131392230703.89058,-131392230703.89058,-131392230703.89058,-193347689295.1599,-193347689295.1599,-193347689295.1599,-132635549294.6923,-132635549294.6923,-132635549294.6923,-194591007885.9616,-194591007885.9616,-194591007885.9616
132,SVN,70109692324.24263,84624789198.23035,38954764136.49365,38335362988.70881,-31154928187.748978,-31154928187.748978,-31154928187.748978,-45670025061.736694,-45670025061.736694,-45670025061.736694,-31774329335.53382,-31774329335.53382,-31774329335.53382,-46289426209.52154,-46289426209.52154,-46289426209.52154
133,SWE,379913142628.16266,463064828451.2382,178959280568.3721,196664793983.64728,-200953862059.79056,-200953862059.79056,-200953862059.79056,-284105547882.8661,-284105547882.8661,-284105547882.8661,-183248348644.51538,-183248348644.51538,-183248348644.51538,-266400034467.59094,-266400034467.59094,-266400034467.59094
134,SWZ,11331727772.453653,13269940104.097023,19364994214.517788,25642490260.93689,8033266442.064135,8033266442.064135,8033266442.064135,6095054110.420765,6095054110.420765,6095054110.420765,14310762488.483236,14310762488.483236,14310762488.483236,12372550156.839867,12372550156.839867,12372550156.839867
135,SYC,14617644817.831692,17636211670.594402,1504730450.8181903,1597218849.0960445,-13112914367.013502,-13112914367.013502,-13112914367.013502,-16131481219.776213,-16131481219.776213,-16131481219.776213,-13020425968.735647,-13020425968.735647,-13020425968.735647,-16038992821.498358,-16038992821.498358,-16038992821.498358
136,SYR,645961444457.8579,751694428422.6311,281310957743.5541,402749535040.5153,-364650486714.30383,-364650486714.30383,-364650486714.30383,-470383470679.077,-470383470679.077,-470383470679.077,-243211909417.3426,-243211909417.3426,-243211909417.3426,-348944893382.1158,-348944893382.1158,-348944893382.1158
137,TGO,155484686053.9284,178283972468.5019,105156810305.83029,157245383825.84055,-50327875748.098114,-50327875748.098114,-50327875748.098114,-73127162162.6716,-73127162162.6716,-73127162162.6716,1760697771.91214,1760697771.91214,1760697771.91214,-21038588642.661346,-21038588642.661346,-21038588642.661346
138,THA,1837368797302.24,2195331226585.1243,1092090846491.7343,1117185503110.7427,-745277950810.5057,-745277950810.5057,-745277950810.5057,-1103240380093.3901,-1103240380093.3901,-1103240380093.3901,-720183294191.4973,-720183294191.4973,-720183294191.4973,-1078145723474.3816,-1078145723474.3816,-1078145723474.3816
139,TON,3336967456.8336973,3841701603.993982,1815613745.391947,2148799737.5662947,-1521353711.4417503,-1521353711.4417503,-1521353711.4417503,-2026087858.6020348,-2026087858.6020348,-2026087858.6020348,-1188167719.2674026,-1188167719.2674026,-1188167719.2674026,-1692901866.4276872,-1692901866.4276872,-1692901866.4276872
140,TTO,43641287835.49587,47533577220.36833,24359374692.328533,25141983022.23017,-19281913143.16734,-19281913143.16734,-19281913143.16734,-23174202528.0398,-23174202528.0398,-23174202528.0398,-18499304813.2657,-18499304813.2657,-18499304813.2657,-22391594198.13816,-22391594198.13816,-22391594198.13816
141,TUN,460641269492.82275,526442663088.59064,178870082390.0402,208653452935.09332,-281771187102.7826,-281771187102.7826,-281771187102.7826,-347572580698.5504,-347572580698.5504,-347572580698.5504,-251987816557.72943,-251987816557.72943,-251987816557.72943,-317789210153.4973,-317789210153.4973,-317789210153.4973
142,TUR,4139703113186.8887,4869885483364.204,1187783077220.1116,1389287962415.3823,-2951920035966.7773,-2951920035966.7773,-2951920035966.7773,-3682102406144.093,-3682102406144.093,-3682102406144.093,-2750415150771.5063,-2750415150771.5063,-2750415150771.5063,-3480597520948.822,-3480597520948.822,-3480597520948.822
143,TZA,1765251429031.255,2056762571120.347,740818336464.6907,1215050100556.1868,-1024433092566.5642,-1024433092566.5642,-1024433092566.5642,-1315944234655.6562,-1315944234655.6562,-1315944234655.6562,-550201328475.0681,-550201328475.0681,-550201328475.0681,-841712470564.1602,-841712470564.1602,-841712470564.1602
144,UGA,720689913802.3258,842584361316.9237,538995872116.1709,912187952862.5057,-181694041686.1549,-181694041686.1549,-181694041686.1549,-303588489200.7528,-303588489200.7528,-303588489200.7528,191498039060.17993,191498039060.17993,191498039060.17993,69603591545.58203,69603591545.58203,69603591545.58203
145,UKR,3060729699983.208,3757096853411.637,855000617129.8442,781320042554.6616,-2205729082853.364,-2205729082853.364,-2205729082853.364,-2902096236281.793,-2902096236281.793,-2902096236281.793,-2279409657428.5464,-2279409657428.5464,-2279409657428.5464,-2975776810856.9756,-2975776810856.9756,-2975776810856.9756
146,URY,273822453054.55774,346669237757.27185,59509445316.14828,63006251701.435425,-214313007738.40945,-214313007738.40945,-214313007738.40945,-287159792441.1236,-287159792441.1236,-287159792441.1236,-210816201353.1223,-210816201353.1223,-210816201353.1223,-283662986055.8364,-283662986055.8364,-283662986055.8364
147,USA,22069461906622.664,27419426352316.023,6560549386556.06,7303485117106.711,-15508912520066.605,-15508912520066.605,-15508912520066.605,-20858876965759.965,-20858876965759.965,-20858876965759.965,-14765976789515.953,-14765976789515.953,-14765976789515.953,-20115941235209.312,-20115941235209.312,-20115941235209.312
148,VCT,12564324544.251598,14358341750.306982,1917232135.4245536,2007501239.418854,-10647092408.827045,-10647092408.827045,-10647092408.827045,-12441109614.88243,-12441109614.88243,-12441109614.88243,-10556823304.832745,-10556823304.832745,-10556823304.832745,-12350840510.888128,-12350840510.888128,-12350840510.888128
149,VEN,840998410568.7571,931436053905.9233,527574531505.0597,646886776345.6631,-313423879063.6974,-313423879063.6974,-313423879063.6974,-403861522400.86365,-403861522400.86365,-403861522400.86365,-194111634223.094,-194111634223.094,-194111634223.094,-284549277560.26025,-284549277560.26025,-284549277560.26025
150,VUT,19702570684.46505,23110386697.594208,4473539258.818413,6347799927.160055,-15229031425.646637,-15229031425.646637,-15229031425.646637,-18636847438.775795,-18636847438.775795,-18636847438.775795,-13354770757.304995,-13354770757.304995,-13354770757.304995,-16762586770.434153,-16762586770.434153,-16762586770.434153
151,YEM,565982806770.1152,631098026290.6714,374439561947.6344,543826604290.7026,-191543244822.48083,-191543244822.48083,-191543244822.48083,-256658464343.037,-256658464343.037,-256658464343.037,-22156202479.41266,-22156202479.41266,-22156202479.41266,-87271421999.96881,-87271421999.96881,-87271421999.96881
152,ZAF,1282267672102.374,1485381480057.386,857006911126.9641,1033409917051.7091,-425260760975.4099,-425260760975.4099,-425260760975.4099,-628374568930.4219,-628374568930.4219,-628374568930.4219,-248857755050.66492,-248857755050.66492,-248857755050.66492,-451971563005.6769,-451971563005.6769,-451971563005.6769
153,ZMB,265227682989.77402,305006606133.6774,221896951116.2889,360440280731.5864,-43330731873.48511,-43330731873.48511,-43330731873.48511,-83109655017.38852,-83109655017.38852,-83109655017.38852,95212597741.81241,95212597741.81241,95212597741.81241,55433674597.909,55433674597.909,55433674597.909
154,ZWE,166854099379.07025,188209826208.5968,223531979966.83206,324933728192.5634,56677880587.76181,56677880587.76181,56677880587.76181,35322153758.23526,35322153758.23526,35322153758.23526,158079628813.49316,158079628813.49316,158079628813.49316,136723901983.96661,136723901983.96661,136723901983.96661
