,ISO3,Supply-BaU2,Supply-HalfW2,Vitamin A (ug RE/day),VA2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
0,AFG,2170874770457.144,2463235436726.717,6399931897653.843,9128037264081.129,4229057127196.6987,4229057127196.6987,4229057127196.6987,3936696460927.126,3936696460927.126,3936696460927.126,6957162493623.984,6957162493623.984,6957162493623.984,6664801827354.412,6664801827354.412,6664801827354.412
1,ALB,1051716095318.9246,1205419907404.0464,580993347686.2098,580103785511.4235,-470722747632.7147,-470722747632.7147,-470722747632.7147,-624426559717.8365,-624426559717.8365,-624426559717.8365,-471612309807.5011,-471612309807.5011,-471612309807.5011,-625316121892.6229,-625316121892.6229,-625316121892.6229
2,ARE,336252097087.52515,434509178369.8744,1881282423019.501,2280348510841.1104,1545030325931.9758,1545030325931.9758,1545030325931.9758,1446773244649.6265,1446773244649.6265,1446773244649.6265,1944096413753.5852,1944096413753.5852,1944096413753.5852,1845839332471.2358,1845839332471.2358,1845839332471.2358
3,ARG,9375564528633.523,11369494095264.48,8398243635083.8125,9629707729020.164,-977320893549.7109,-977320893549.7109,-977320893549.7109,-2971250460180.668,-2971250460180.668,-2971250460180.668,254143200386.64062,254143200386.64062,254143200386.64062,-1739786366244.3164,-1739786366244.3164,-1739786366244.3164
4,ARM,675432500828.9027,843050282633.6539,567197692000.654,566856752687.6193,-108234808828.24866,-108234808828.24866,-108234808828.24866,-275852590632.9999,-275852590632.9999,-275852590632.9999,-108575748141.28345,-108575748141.28345,-108575748141.28345,-276193529946.03467,-276193529946.03467,-276193529946.03467
5,ATG,5971460537.1221485,7446548587.922889,19446301442.30476,22502438733.19282,13474840905.182611,13474840905.182611,13474840905.182611,11999752854.38187,11999752854.38187,11999752854.38187,16530978196.070673,16530978196.070673,16530978196.070673,15055890145.269932,15055890145.269932,15055890145.269932
6,AUS,8073996392324.751,10027751128101.135,4575995903769.18,5476935976679.973,-3498000488555.5713,-3498000488555.5713,-3498000488555.5713,-5451755224331.955,-5451755224331.955,-5451755224331.955,-2597060415644.7783,-2597060415644.7783,-2597060415644.7783,-4550815151421.162,-4550815151421.162,-4550815151421.162
7,AUT,2026108797261.4849,2409700974799.328,1675004321096.464,1723542441071.8906,-351104476165.02075,-351104476165.02075,-351104476165.02075,-734696653702.864,-734696653702.864,-734696653702.864,-302566356189.59424,-302566356189.59424,-302566356189.59424,-686158533727.4375,-686158533727.4375,-686158533727.4375
8,AZE,1398481706477.4434,1670272430057.0837,1872932133671.8738,2111704821234.2922,474450427194.4304,474450427194.4304,474450427194.4304,202659703614.79004,202659703614.79004,202659703614.79004,713223114756.8489,713223114756.8489,713223114756.8489,441432391177.2085,441432391177.2085,441432391177.2085
9,BDI,2440622014735.9297,3228931705319.56,1915295958767.1646,3063745369465.8823,-525326055968.76514,-525326055968.76514,-525326055968.76514,-1313635746552.3955,-1313635746552.3955,-1313635746552.3955,623123354729.9526,623123354729.9526,623123354729.9526,-165186335853.67773,-165186335853.67773,-165186335853.67773
10,BEN,625955157456.2698,802940365692.3605,2002908870028.2852,3044313162922.414,1376953712572.0154,1376953712572.0154,1376953712572.0154,1199968504335.9248,1199968504335.9248,1199968504335.9248,2418358005466.1445,2418358005466.1445,2418358005466.1445,2241372797230.0537,2241372797230.0537,2241372797230.0537
11,BFA,900462430956.3064,1101453104960.7368,3415723328736.509,5325209047614.456,2515260897780.202,2515260897780.202,2515260897780.202,2314270223775.772,2314270223775.772,2314270223775.772,4424746616658.149,4424746616658.149,4424746616658.149,4223755942653.719,4223755942653.719,4223755942653.719
12,BGD,3320780110756.391,4112692091133.9365,31471984852353.223,36594016520568.62,28151204741596.832,28151204741596.832,28151204741596.832,27359292761219.285,27359292761219.285,27359292761219.285,33273236409812.227,33273236409812.227,33273236409812.227,32481324429434.68,32481324429434.68,32481324429434.68
13,BGR,1170552604066.872,1351606719526.6313,1414993102682.0076,1260225706818.8516,244440498615.1355,244440498615.1355,244440498615.1355,63386383155.37622,63386383155.37622,63386383155.37622,89673102751.97949,89673102751.97949,89673102751.97949,-91381012707.77979,-91381012707.77979,-91381012707.77979
14,BHR,197945022243.55444,227179628259.56427,271257373773.33618,410418266493.5653,73312351529.78174,73312351529.78174,73312351529.78174,44077745513.77191,44077745513.77191,44077745513.77191,212473244250.01086,212473244250.01086,212473244250.01086,183238638234.00104,183238638234.00104,183238638234.00104
15,BHS,56711528087.4959,63394430981.40364,75661243575.98209,87144024019.05783,18949715488.486183,18949715488.486183,18949715488.486183,12266812594.578445,12266812594.578445,12266812594.578445,30432495931.561928,30432495931.561928,30432495931.561928,23749593037.65419,23749593037.65419,23749593037.65419
16,BIH,519851372176.7251,603606487327.561,704089697671.4276,666414654036.1353,184238325494.7025,184238325494.7025,184238325494.7025,100483210343.86658,100483210343.86658,100483210343.86658,146563281859.41016,146563281859.41016,146563281859.41016,62808166708.57422,62808166708.57422,62808166708.57422
17,BLR,3061956509179.192,3717364852775.0107,1851396752882.887,1787268213390.231,-1210559756296.305,-1210559756296.305,-1210559756296.305,-1865968099892.1238,-1865968099892.1238,-1865968099892.1238,-1274688295788.961,-1274688295788.961,-1274688295788.961,-1930096639384.7798,-1930096639384.7798,-1930096639384.7798
18,BLZ,27699657570.81555,36554853592.61927,69281652164.9364,93030695681.83018,41581994594.12085,41581994594.12085,41581994594.12085,32726798572.31713,32726798572.31713,32726798572.31713,65331038111.01463,65331038111.01463,65331038111.01463,56475842089.210915,56475842089.210915,56475842089.210915
19,BOL,971952661534.4834,1194832570822.4922,2068942805024.2761,2571569813354.866,1096990143489.7927,1096990143489.7927,1096990143489.7927,874110234201.7839,874110234201.7839,874110234201.7839,1599617151820.3828,1599617151820.3828,1599617151820.3828,1376737242532.374,1376737242532.374,1376737242532.374
20,BRA,17896449807373.707,21367855994598.02,40433627466681.71,44556844139861.62,22537177659308.004,22537177659308.004,22537177659308.004,19065771472083.69,19065771472083.69,19065771472083.69,26660394332487.91,26660394332487.91,26660394332487.91,23188988145263.598,23188988145263.598,23188988145263.598
21,BRB,30778804121.001804,35029221155.92196,55438649780.80273,56401062555.30639,24659845659.800922,24659845659.800922,24659845659.800922,20409428624.880768,20409428624.880768,20409428624.880768,25622258434.304585,25622258434.304585,25622258434.304585,21371841399.38443,21371841399.38443,21371841399.38443
22,BRN,47911838157.57932,53082119494.16315,81969119741.2682,97763800752.64334,34057281583.68888,34057281583.68888,34057281583.68888,28887000247.105057,28887000247.105057,28887000247.105057,49851962595.06402,49851962595.06402,49851962595.06402,44681681258.480194,44681681258.480194,44681681258.480194
23,BTN,131276742681.60806,161740134127.1372,154130615186.40204,181043491590.57794,22853872504.793976,22853872504.793976,22853872504.793976,-7609518940.735168,-7609518940.735168,-7609518940.735168,49766748908.96988,49766748908.96988,49766748908.96988,19303357463.440735,19303357463.440735,19303357463.440735
24,BWA,200903201307.9625,233115092951.38864,427440914271.8006,553620726507.6697,226537712963.8381,226537712963.8381,226537712963.8381,194325821320.41196,194325821320.41196,194325821320.41196,352717525199.70715,352717525199.70715,352717525199.70715,320505633556.281,320505633556.281,320505633556.281
25,CAF,127496169419.85675,159672782636.49918,881067472685.6757,1188430809339.9155,753571303265.8188,753571303265.8188,753571303265.8188,721394690049.1765,721394690049.1765,721394690049.1765,1060934639920.0588,1060934639920.0588,1060934639920.0588,1028758026703.4164,1028758026703.4164,1028758026703.4164
26,CAN,7271462682881.544,8814210782507.766,6948844475470.752,7862735897506.4,-322618207410.792,-322618207410.792,-322618207410.792,-1865366307037.0137,-1865366307037.0137,-1865366307037.0137,591273214624.8564,591273214624.8564,591273214624.8564,-951474885001.3652,-951474885001.3652,-951474885001.3652
27,CHE,2574942488652.7393,2902706619641.7856,1596035483298.3152,1772277537271.472,-978907005354.4241,-978907005354.4241,-978907005354.4241,-1306671136343.4705,-1306671136343.4705,-1306671136343.4705,-802664951381.2673,-802664951381.2673,-802664951381.2673,-1130429082370.3137,-1130429082370.3137,-1130429082370.3137
28,CHL,2658390889110.267,3411367427173.052,3469137445959.3564,3853876138813.982,810746556849.0894,810746556849.0894,810746556849.0894,57770018786.30469,57770018786.30469,57770018786.30469,1195485249703.7148,1195485249703.7148,1195485249703.7148,442508711640.9302,442508711640.9302,442508711640.9302
29,CIV,1175265947187.1455,1538323722181.2258,4403798390647.608,6497670674426.409,3228532443460.463,3228532443460.463,3228532443460.463,2865474668466.383,2865474668466.383,2865474668466.383,5322404727239.264,5322404727239.264,5322404727239.264,4959346952245.184,4959346952245.184,4959346952245.184
30,CMR,2730467729003.662,3691156391019.9697,4326930086452.1685,6421974708303.352,1596462357448.5063,1596462357448.5063,1596462357448.5063,635773695432.1987,635773695432.1987,635773695432.1987,3691506979299.6895,3691506979299.6895,3691506979299.6895,2730818317283.382,2730818317283.382,2730818317283.382
31,COD,2997032115210.4014,4083523658564.4155,14289410809773.256,23357348630817.797,11292378694562.855,11292378694562.855,11292378694562.855,10205887151208.84,10205887151208.84,10205887151208.84,20360316515607.395,20360316515607.395,20360316515607.395,19273824972253.383,19273824972253.383,19273824972253.383
32,COG,124739830876.40233,158271210902.66916,946913032220.4747,1426542657216.664,822173201344.0724,822173201344.0724,822173201344.0724,788641821317.8055,788641821317.8055,788641821317.8055,1301802826340.2617,1301802826340.2617,1301802826340.2617,1268271446313.9949,1268271446313.9949,1268271446313.9949
33,COL,5436676358532.94,6767469188629.53,9451903431400.543,10507428650215.71,4015227072867.6025,4015227072867.6025,4015227072867.6025,2684434242771.0127,2684434242771.0127,2684434242771.0127,5070752291682.7705,5070752291682.7705,5070752291682.7705,3739959461586.1807,3739959461586.1807,3739959461586.1807
34,COM,37838920861.45882,48448241519.0443,148464153772.58435,207921041599.22217,110625232911.12553,110625232911.12553,110625232911.12553,100015912253.54005,100015912253.54005,100015912253.54005,170082120737.76337,170082120737.76337,170082120737.76337,159472800080.17786,159472800080.17786,159472800080.17786
35,CPR,414433886208609.9,531139226870337.5,276690827008301.22,288151433795670.2,-137743059200308.66,-137743059200308.66,-137743059200308.66,-254448399862036.28,-254448399862036.28,-254448399862036.28,-126282452412939.69,-126282452412939.69,-126282452412939.69,-242987793074667.3,-242987793074667.3,-242987793074667.3
36,CPV,6354254128.588181,28325409973.03431,103302624950.60873,124237816173.79285,96948370822.02055,96948370822.02055,96948370822.02055,74977214977.57443,74977214977.57443,74977214977.57443,117883562045.20467,117883562045.20467,117883562045.20467,95912406200.75854,95912406200.75854,95912406200.75854
37,CRI,489967877076.1281,650655096761.6097,940168828628.9396,1067275144828.6349,450200951552.81146,450200951552.81146,450200951552.81146,289513731867.32983,289513731867.32983,289513731867.32983,577307267752.5068,577307267752.5068,577307267752.5068,416620048067.02515,416620048067.02515,416620048067.02515
38,CUB,2590747399895.926,3289811946430.5728,2244864714687.296,2236640503353.947,-345882685208.6299,-345882685208.6299,-345882685208.6299,-1044947231743.2769,-1044947231743.2769,-1044947231743.2769,-354106896541.979,-354106896541.979,-354106896541.979,-1053171443076.626,-1053171443076.626,-1053171443076.626
39,CYP,180149363454.04794,213764623369.46027,227374628845.78204,252214746608.41675,47225265391.7341,47225265391.7341,47225265391.7341,13610005476.321777,13610005476.321777,13610005476.321777,72065383154.3688,72065383154.3688,72065383154.3688,38450123238.95648,38450123238.95648,38450123238.95648
40,CZE,1819542506357.6375,2064576638266.7297,2080024058423.0386,2067776398848.7295,260481552065.40112,260481552065.40112,260481552065.40112,15447420156.308838,15447420156.308838,15447420156.308838,248233892491.09204,248233892491.09204,248233892491.09204,3199760581.999756,3199760581.999756,3199760581.999756
41,DEU,18406601497139.043,21291735817439.633,15792037254249.252,15789405683525.078,-2614564242889.791,-2614564242889.791,-2614564242889.791,-5499698563190.381,-5499698563190.381,-5499698563190.381,-2617195813613.965,-2617195813613.965,-2617195813613.965,-5502330133914.555,-5502330133914.555,-5502330133914.555
42,DJI,34620315532.031494,41047076965.387985,180404559388.62167,223919019392.2778,145784243856.59018,145784243856.59018,145784243856.59018,139357482423.2337,139357482423.2337,139357482423.2337,189298703860.2463,189298703860.2463,189298703860.2463,182871942426.88983,182871942426.88983,182871942426.88983
43,DNK,2482499105222.555,2914779143893.0376,1111703343091.5757,1178400878186.1255,-1370795762130.9795,-1370795762130.9795,-1370795762130.9795,-1803075800801.462,-1803075800801.462,-1803075800801.462,-1304098227036.4297,-1304098227036.4297,-1304098227036.4297,-1736378265706.912,-1736378265706.912,-1736378265706.912
44,DZA,7194134139222.412,8893466658514.982,7668236027118.766,9628633049880.322,474101887896.3535,474101887896.3535,474101887896.3535,-1225230631396.2168,-1225230631396.2168,-1225230631396.2168,2434498910657.91,2434498910657.91,2434498910657.91,735166391365.3398,735166391365.3398,735166391365.3398
45,ECU,1270408390356.7344,1627220760783.5403,3124440037481.129,3838609380632.527,1854031647124.3945,1854031647124.3945,1854031647124.3945,1497219276697.5886,1497219276697.5886,1497219276697.5886,2568200990275.7925,2568200990275.7925,2568200990275.7925,2211388619848.9863,2211388619848.9863,2211388619848.9863
46,EGY,9181895689448.79,11691283004783.889,18025959585708.934,23630414260621.96,8844063896260.145,8844063896260.145,8844063896260.145,6334676580925.045,6334676580925.045,6334676580925.045,14448518571173.172,14448518571173.172,14448518571173.172,11939131255838.072,11939131255838.072,11939131255838.072
47,ESP,9012689386010.125,11826624684963.324,8927250444381.459,8738260309178.438,-85438941628.66602,-85438941628.66602,-85438941628.66602,-2899374240581.865,-2899374240581.865,-2899374240581.865,-274429076831.68652,-274429076831.68652,-274429076831.68652,-3088364375784.8857,-3088364375784.8857,-3088364375784.8857
48,EST,406086624499.1002,481746446564.76306,255084669355.77847,242080912762.29807,-151001955143.32175,-151001955143.32175,-151001955143.32175,-226661777208.9846,-226661777208.9846,-226661777208.9846,-164005711736.80215,-164005711736.80215,-164005711736.80215,-239665533802.465,-239665533802.465,-239665533802.465
49,ETH,9804796210254.582,12592431131199.2,19048148468619.938,27251020688364.29,9243352258365.355,9243352258365.355,9243352258365.355,6455717337420.738,6455717337420.738,6455717337420.738,17446224478109.707,17446224478109.707,17446224478109.707,14658589557165.09,14658589557165.09,14658589557165.09
50,FIN,1464102651448.652,1706124607619.6584,1062545471466.128,1111264511459.534,-401557179982.52405,-401557179982.52405,-401557179982.52405,-643579136153.5304,-643579136153.5304,-643579136153.5304,-352838139989.11816,-352838139989.11816,-352838139989.11816,-594860096160.1245,-594860096160.1245,-594860096160.1245
51,FJI,66318165774.860245,83974851320.52783,175818770252.99927,193582798384.44342,109500604478.13902,109500604478.13902,109500604478.13902,91843918932.47144,91843918932.47144,91843918932.47144,127264632609.58318,127264632609.58318,127264632609.58318,109607947063.91559,109607947063.91559,109607947063.91559
52,FRA,17096465221093.598,19765325359078.86,12318964989983.42,12904323717216.406,-4777500231110.178,-4777500231110.178,-4777500231110.178,-7446360369095.439,-7446360369095.439,-7446360369095.439,-4192141503877.1914,-4192141503877.1914,-4192141503877.1914,-6861001641862.453,-6861001641862.453,-6861001641862.453
53,GAB,98499714964.01253,132772472390.9443,367052632370.5056,508945686184.1991,268552917406.4931,268552917406.4931,268552917406.4931,234280159979.5613,234280159979.5613,234280159979.5613,410445971220.1866,410445971220.1866,410445971220.1866,376173213793.25476,376173213793.25476,376173213793.25476
54,GBR,15987873257224.965,18455935937856.41,12583645425846.746,13606599887580.725,-3404227831378.2188,-3404227831378.2188,-3404227831378.2188,-5872290512009.664,-5872290512009.664,-5872290512009.664,-2381273369644.24,-2381273369644.24,-2381273369644.24,-4849336050275.686,-4849336050275.686,-4849336050275.686
55,GEO,447228354876.67395,517547894075.365,781292784852.1198,733774963681.0243,334064429975.4458,334064429975.4458,334064429975.4458,263744890776.75476,263744890776.75476,263744890776.75476,286546608804.35034,286546608804.35034,286546608804.35034,216227069605.6593,216227069605.6593,216227069605.6593
56,GHA,2344317309722.3394,3115007053092.005,5269447411609.595,7311797763774.558,2925130101887.2554,2925130101887.2554,2925130101887.2554,2154440358517.5898,2154440358517.5898,2154440358517.5898,4967480454052.219,4967480454052.219,4967480454052.219,4196790710682.5527,4196790710682.5527,4196790710682.5527
57,GIN,1097498167494.5287,1441607911746.2039,2304838346892.954,3439522797112.363,1207340179398.4253,1207340179398.4253,1207340179398.4253,863230435146.7502,863230435146.7502,863230435146.7502,2342024629617.834,2342024629617.834,2342024629617.834,1997914885366.159,1997914885366.159,1997914885366.159
58,GMB,63693225614.74006,73109647896.04845,371920075174.7678,582838351180.6947,308226849560.0278,308226849560.0278,308226849560.0278,298810427278.71936,298810427278.71936,298810427278.71936,519145125565.95465,519145125565.95465,519145125565.95465,509728703284.64624,509728703284.64624,509728703284.64624
59,GRC,3337371838350.186,3906347504760.889,2167376915289.821,2053701198239.1687,-1169994923060.365,-1169994923060.365,-1169994923060.365,-1738970589471.068,-1738970589471.068,-1738970589471.068,-1283670640111.0173,-1283670640111.0173,-1283670640111.0173,-1852646306521.7205,-1852646306521.7205,-1852646306521.7205
60,GRD,10659989332.481121,12239395001.724836,20855357816.433582,21970333317.51469,10195368483.952461,10195368483.952461,10195368483.952461,8615962814.708746,8615962814.708746,8615962814.708746,11310343985.03357,11310343985.03357,11310343985.03357,9730938315.789854,9730938315.789854,9730938315.789854
61,GTM,822683287095.528,1190520063504.1475,3114621555066.548,4142893253088.993,2291938267971.02,2291938267971.02,2291938267971.02,1924101491562.4004,1924101491562.4004,1924101491562.4004,3320209965993.4653,3320209965993.4653,3320209965993.4653,2952373189584.8457,2952373189584.8457,2952373189584.8457
62,GUY,100421199001.39519,123968650566.63141,151513551896.11646,164070166131.46042,51092352894.72127,51092352894.72127,51092352894.72127,27544901329.485046,27544901329.485046,27544901329.485046,63648967130.06523,63648967130.06523,63648967130.06523,40101515564.82901,40101515564.82901,40101515564.82901
63,HND,409174947505.31573,521584712571.4,1731359821965.2107,2186865112586.5017,1322184874459.895,1322184874459.895,1322184874459.895,1209775109393.8105,1209775109393.8105,1209775109393.8105,1777690165081.186,1777690165081.186,1777690165081.186,1665280400015.1016,1665280400015.1016,1665280400015.1016
64,HRV,727741985007.2955,816963568493.0431,829739748407.4648,754576271072.099,101997763400.16931,101997763400.16931,101997763400.16931,12776179914.421753,12776179914.421753,12776179914.421753,26834286064.803467,26834286064.803467,26834286064.803467,-62387297420.94409,-62387297420.94409,-62387297420.94409
65,HUN,1387973286793.2153,1749939422484.2888,1924293639039.11,1809186407363.366,536320352245.8948,536320352245.8948,536320352245.8948,174354216554.8213,174354216554.8213,174354216554.8213,421213120570.15063,421213120570.15063,421213120570.15063,59246984879.07715,59246984879.07715,59246984879.07715
66,IDN,17123057298099.666,22447605117732.945,50548722351372.56,58777469997272.58,33425665053272.9,33425665053272.9,33425665053272.9,28101117233639.617,28101117233639.617,28101117233639.617,41654412699172.914,41654412699172.914,41654412699172.914,36329864879539.63,36329864879539.63,36329864879539.63
67,IND,72342963278625.81,87941298039875.19,256470265984436.75,300262808115380.4,184127302705810.94,184127302705810.94,184127302705810.94,168528967944561.56,168528967944561.56,168528967944561.56,227919844836754.56,227919844836754.56,227919844836754.56,212321510075505.2,212321510075505.2,212321510075505.2
68,IRL,1917699080092.196,2291226696987.86,918437921803.188,1023362273300.3462,-999261158289.008,-999261158289.008,-999261158289.008,-1372788775184.6719,-1372788775184.6719,-1372788775184.6719,-894336806791.8499,-894336806791.8499,-894336806791.8499,-1267864423687.5137,-1267864423687.5137,-1267864423687.5137
69,IRN,11408698838386.375,14206950512664.6,15481312545341.72,17639136621972.914,4072613706955.3457,4072613706955.3457,4072613706955.3457,1274362032677.121,1274362032677.121,1274362032677.121,6230437783586.539,6230437783586.539,6230437783586.539,3432186109308.3145,3432186109308.3145,3432186109308.3145
70,ISL,259782092542.27094,328202375206.91235,64049635592.9994,70816117998.67868,-195732456949.27155,-195732456949.27155,-195732456949.27155,-264152739613.91296,-264152739613.91296,-264152739613.91296,-188965974543.59225,-188965974543.59225,-188965974543.59225,-257386257208.23367,-257386257208.23367,-257386257208.23367
71,ISR,1477136536035.9138,2161150067794.7178,1542409508073.9163,1939852801489.1206,65272972038.00244,65272972038.00244,65272972038.00244,-618740559720.8015,-618740559720.8015,-618740559720.8015,462716265453.2068,462716265453.2068,462716265453.2068,-221297266305.59717,-221297266305.59717,-221297266305.59717
72,ITA,13860543523172.896,16585689037284.145,11424339039312.074,11023865488231.361,-2436204483860.8223,-2436204483860.8223,-2436204483860.8223,-5161349997972.07,-5161349997972.07,-5161349997972.07,-2836678034941.535,-2836678034941.535,-2836678034941.535,-5561823549052.783,-5561823549052.783,-5561823549052.783
73,JAM,512396690723.2841,658742656222.8553,562645780263.5167,571408753317.5769,50249089540.232605,50249089540.232605,50249089540.232605,-96096875959.33862,-96096875959.33862,-96096875959.33862,59012062594.292786,59012062594.292786,59012062594.292786,-87333902905.27844,-87333902905.27844,-87333902905.27844
74,JOR,1024822873637.86,1284554809195.7546,1724107701430.9255,2193439078033.2192,699284827793.0656,699284827793.0656,699284827793.0656,439552892235.1709,439552892235.1709,439552892235.1709,1168616204395.3594,1168616204395.3594,1168616204395.3594,908884268837.4646,908884268837.4646,908884268837.4646
75,JPN,18916367944098.43,22671752296318.96,24528507642420.105,23040017433535.777,5612139698321.676,5612139698321.676,5612139698321.676,1856755346101.1445,1856755346101.1445,1856755346101.1445,4123649489437.3477,4123649489437.3477,4123649489437.3477,368265137216.8164,368265137216.8164,368265137216.8164
76,KAZ,5347961419281.565,6528266041307.12,3423995345581.129,4016386764349.8013,-1923966073700.4365,-1923966073700.4365,-1923966073700.4365,-3104270695725.991,-3104270695725.991,-3104270695725.991,-1331574654931.7642,-1331574654931.7642,-1331574654931.7642,-2511879276957.319,-2511879276957.319,-2511879276957.319
