,ISO3,Supply-BaU2,Supply-HalfW2,Vitamin A (ug RE/day),VA2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
77,KEN,6957794841654.418,8982576573707.47,8968947158338.996,13073067850314.172,2011152316684.5781,2011152316684.5781,2011152316684.5781,-13629415368.47461,-13629415368.47461,-13629415368.47461,6115273008659.754,6115273008659.754,6115273008659.754,4090491276606.701,4090491276606.701,4090491276606.701
78,KGZ,1652588215509.2163,2110176890236.7676,1128355648361.9563,1374256141085.085,-524232567147.26,-524232567147.26,-524232567147.26,-981821241874.8113,-981821241874.8113,-981821241874.8113,-278332074424.13135,-278332074424.13135,-278332074424.13135,-735920749151.6826,-735920749151.6826,-735920749151.6826
79,KHM,340153744028.0937,430541983325.7818,3004679069382.461,3715102558778.3,2664525325354.367,2664525325354.367,2664525325354.367,2574137086056.679,2574137086056.679,2574137086056.679,3374948814750.206,3374948814750.206,3374948814750.206,3284560575452.518,3284560575452.518,3284560575452.518
80,KIR,17376465021.30287,20792585204.012886,21659643952.83071,27898192213.743057,4283178931.5278397,4283178931.5278397,4283178931.5278397,867058748.8178253,867058748.8178253,867058748.8178253,10521727192.440186,10521727192.440186,10521727192.440186,7105607009.730171,7105607009.730171,7105607009.730171
81,KOR,6474338160564.504,7828311095205.824,10012811805028.887,10397355500062.959,3538473644464.383,3538473644464.383,3538473644464.383,2184500709823.0625,2184500709823.0625,2184500709823.0625,3923017339498.455,3923017339498.455,3923017339498.455,2569044404857.135,2569044404857.135,2569044404857.135
82,KWT,1079883948092.7208,1215569885748.2986,757732923082.6467,988753657448.0013,-322151025010.0741,-322151025010.0741,-322151025010.0741,-457836962665.65186,-457836962665.65186,-457836962665.65186,-91130290644.71948,-91130290644.71948,-91130290644.71948,-226816228300.29724,-226816228300.29724,-226816228300.29724
83,LBN,709722901885.1334,854038540661.2306,1108313797000.6006,1063147698835.9412,398590895115.46716,398590895115.46716,398590895115.46716,254275256339.37,254275256339.37,254275256339.37,353424796950.80774,353424796950.80774,353424796950.80774,209109158174.71057,209109158174.71057,209109158174.71057
84,LBY,711465500083.1472,876696092521.6399,1225730742953.6218,1453915273685.0684,514265242870.4746,514265242870.4746,514265242870.4746,349034650431.98193,349034650431.98193,349034650431.98193,742449773601.9211,742449773601.9211,742449773601.9211,577219181163.4285,577219181163.4285,577219181163.4285
85,LCA,19828152195.859386,22224745509.664745,34780597220.66054,36449219111.87064,14952445024.801151,14952445024.801151,14952445024.801151,12555851710.995792,12555851710.995792,12555851710.995792,16621066916.011257,16621066916.011257,16621066916.011257,14224473602.205898,14224473602.205898,14224473602.205898
86,LKA,943148921749.509,1296650450697.1216,4078914918965.2217,4257691619418.0796,3135765997215.713,3135765997215.713,3135765997215.713,2782264468268.1,2782264468268.1,2782264468268.1,3314542697668.5703,3314542697668.5703,3314542697668.5703,2961041168720.958,2961041168720.958,2961041168720.958
87,LTU,1025730131145.1553,1228759860942.4143,574081304477.0276,522786754110.4008,-451648826668.1277,-451648826668.1277,-451648826668.1277,-654678556465.3867,-654678556465.3867,-654678556465.3867,-502943377034.75446,-502943377034.75446,-502943377034.75446,-705973106832.0134,-705973106832.0134,-705973106832.0134
88,LVA,686243735123.9811,808705517160.262,391107880550.24786,338287024776.1888,-295135854573.7332,-295135854573.7332,-295135854573.7332,-417597636610.0141,-417597636610.0141,-417597636610.0141,-347956710347.7923,-347956710347.7923,-347956710347.7923,-470418492384.0732,-470418492384.0732,-470418492384.0732
89,MAR,6275866749613.765,7976344297783.276,6763406385288.255,8084247759899.685,487539635674.49023,487539635674.49023,487539635674.49023,-1212937912495.0215,-1212937912495.0215,-1212937912495.0215,1808381010285.92,1808381010285.92,1808381010285.92,107903462116.4082,107903462116.4082,107903462116.4082
90,MDA,544816022799.89923,631918082010.2211,802393693108.9277,757448606615.4655,257577670309.0285,257577670309.0285,257577670309.0285,170475611098.70667,170475611098.70667,170475611098.70667,212632583815.56622,212632583815.56622,212632583815.56622,125530524605.24438,125530524605.24438,125530524605.24438
91,MDG,3057017125077.406,4026319518398.793,4604227138313.236,6942255977276.541,1547210013235.8306,1547210013235.8306,1547210013235.8306,577907619914.4434,577907619914.4434,577907619914.4434,3885238852199.1353,3885238852199.1353,3885238852199.1353,2915936458877.748,2915936458877.748,2915936458877.748
92,MDV,43777616358.19175,50503399734.3404,81297631091.81204,102546111545.00922,37520014733.62029,37520014733.62029,37520014733.62029,30794231357.47164,30794231357.47164,30794231357.47164,58768495186.81747,58768495186.81747,58768495186.81747,52042711810.668816,52042711810.668816,52042711810.668816
93,MEX,10481826075545.898,13566394476289.73,24427736685785.81,28967868670700.902,13945910610239.91,13945910610239.91,13945910610239.91,10861342209496.078,10861342209496.078,10861342209496.078,18486042595155.004,18486042595155.004,18486042595155.004,15401474194411.172,15401474194411.172,15401474194411.172
94,MKD,483986979458.9541,569937678594.3708,413028127159.4453,412732043068.23364,-70958852299.50879,-70958852299.50879,-70958852299.50879,-156909551434.92554,-156909551434.92554,-156909551434.92554,-71254936390.72046,-71254936390.72046,-71254936390.72046,-157205635526.1372,-157205635526.1372,-157205635526.1372
95,MLI,2857216530921.3867,3643968384549.0273,3282493267047.6226,5239746823644.269,425276736126.23584,425276736126.23584,425276736126.23584,-361475117501.4048,-361475117501.4048,-361475117501.4048,2382530292722.882,2382530292722.882,2382530292722.882,1595778439095.2412,1595778439095.2412,1595778439095.2412
96,MLT,71135806968.23468,82538719427.68268,84269694933.81047,87095389317.35225,13133887965.57579,13133887965.57579,13133887965.57579,1730975506.1277924,1730975506.1277924,1730975506.1277924,15959582349.117569,15959582349.117569,15959582349.117569,4556669889.669571,4556669889.669571,4556669889.669571
97,MNG,1965738613429.9285,2234483816857.0435,574228329919.433,705070431677.525,-1391510283510.4956,-1391510283510.4956,-1391510283510.4956,-1660255486937.6104,-1660255486937.6104,-1660255486937.6104,-1260668181752.4033,-1260668181752.4033,-1260668181752.4033,-1529413385179.5186,-1529413385179.5186,-1529413385179.5186
98,MRT,589868836874.4323,695835724641.7507,795058653330.5745,1190793755846.14,205189816456.1422,205189816456.1422,205189816456.1422,99222928688.82373,99222928688.82373,99222928688.82373,600924918971.7076,600924918971.7076,600924918971.7076,494958031204.38916,494958031204.38916,494958031204.38916
99,MUS,141911562314.69595,165504448808.20126,250481823168.73218,255842862255.3735,108570260854.03622,108570260854.03622,108570260854.03622,84977374360.53091,84977374360.53091,84977374360.53091,113931299940.67755,113931299940.67755,113931299940.67755,90338413447.17224,90338413447.17224,90338413447.17224
100,MWI,14850053106020.096,19712970463948.652,3316699474339.9976,5166080396309.1875,-11533353631680.098,-11533353631680.098,-11533353631680.098,-16396270989608.654,-16396270989608.654,-16396270989608.654,-9683972709710.908,-9683972709710.908,-9683972709710.908,-14546890067639.465,-14546890067639.465,-14546890067639.465
101,MYS,2064561126093.5012,2507783193595.9453,6022692046286.911,7332204678032.701,3958130920193.41,3958130920193.41,3958130920193.41,3514908852690.966,3514908852690.966,3514908852690.966,5267643551939.2,5267643551939.2,5267643551939.2,4824421484436.756,4824421484436.756,4824421484436.756
102,NAM,270429190613.265,327333218981.0277,464151183825.7498,636451810162.4012,193721993212.4848,193721993212.4848,193721993212.4848,136817964844.7221,136817964844.7221,136817964844.7221,366022619549.1362,366022619549.1362,366022619549.1362,309118591181.37354,309118591181.37354,309118591181.37354
103,NER,1390134149008.6482,1809646830098.5361,3696028938290.552,6751044649283.478,2305894789281.9033,2305894789281.9033,2305894789281.9033,1886382108192.0156,1886382108192.0156,1886382108192.0156,5360910500274.829,5360910500274.829,5360910500274.829,4941397819184.941,4941397819184.941,4941397819184.941
104,NGA,20928838559133.89,27676311216724.816,34399395223054.176,51500978301752.67,13470556663920.285,13470556663920.285,13470556663920.285,6723084006329.359,6723084006329.359,6723084006329.359,30572139742618.78,30572139742618.78,30572139742618.78,23824667085027.855,23824667085027.855,23824667085027.855
105,NIC,274554769976.0372,356911391179.76447,1180575013326.1406,1381766414552.2546,906020243350.1034,906020243350.1034,906020243350.1034,823663622146.3762,823663622146.3762,823663622146.3762,1107211644576.2175,1107211644576.2175,1107211644576.2175,1024855023372.4902,1024855023372.4902,1024855023372.4902
106,NLD,2744284686738.6304,4554842695727.772,3307113040907.4453,3419493532270.7397,562828354168.815,562828354168.815,562828354168.815,-1247729654820.3271,-1247729654820.3271,-1247729654820.3271,675208845532.1094,675208845532.1094,675208845532.1094,-1135349163457.0327,-1135349163457.0327,-1135349163457.0327
107,NOR,1260280974984.4614,1475928531106.8982,1002342234526.5483,1158609511644.8254,-257938740457.9131,-257938740457.9131,-257938740457.9131,-473586296580.34985,-473586296580.34985,-473586296580.34985,-101671463339.63599,-101671463339.63599,-101671463339.63599,-317319019462.07275,-317319019462.07275,-317319019462.07275
108,NPL,908145307665.6652,1062816321918.7451,5592396536959.036,6558130386207.768,4684251229293.371,4684251229293.371,4684251229293.371,4529580215040.291,4529580215040.291,4529580215040.291,5649985078542.103,5649985078542.103,5649985078542.103,5495314064289.022,5495314064289.022,5495314064289.022
109,NZL,4104593613431.4497,5515883860576.102,891874078423.6606,1013558583703.1832,-3212719535007.789,-3212719535007.789,-3212719535007.789,-4624009782152.441,-4624009782152.441,-4624009782152.441,-3091035029728.2666,-3091035029728.2666,-3091035029728.2666,-4502325276872.918,-4502325276872.918,-4502325276872.918
110,OMN,658150013554.538,757637208364.2069,800558641667.5978,1200639083071.1626,142408628113.0598,142408628113.0598,142408628113.0598,42921433303.39087,42921433303.39087,42921433303.39087,542489069516.62463,542489069516.62463,542489069516.62463,443001874706.9557,443001874706.9557,443001874706.9557
111,PAK,19836375980524.832,23277709407624.99,36461504200028.68,48091720932771.85,16625128219503.848,16625128219503.848,16625128219503.848,13183794792403.691,13183794792403.691,13183794792403.691,28255344952247.02,28255344952247.02,28255344952247.02,24814011525146.863,24814011525146.863,24814011525146.863
112,PAN,229113511266.98514,276922775778.69275,766220192108.9164,956821658673.8636,537106680841.9313,537106680841.9313,537106680841.9313,489297416330.22363,489297416330.22363,489297416330.22363,727708147406.8785,727708147406.8785,727708147406.8785,679898882895.1709,679898882895.1709,679898882895.1709
113,PER,5143762532482.034,6524050832569.342,6091962711698.495,7241285131279.149,948200179216.4609,948200179216.4609,948200179216.4609,-432088120870.8467,-432088120870.8467,-432088120870.8467,2097522598797.1152,2097522598797.1152,2097522598797.1152,717234298709.8076,717234298709.8076,717234298709.8076
114,PHL,4557001709321.033,5975134451328.729,19750663341079.305,24770217717810.91,15193661631758.271,15193661631758.271,15193661631758.271,13775528889750.576,13775528889750.576,13775528889750.576,20213216008489.875,20213216008489.875,20213216008489.875,18795083266482.18,18795083266482.18,18795083266482.18
115,PNG,2198351009844.238,3107748936145.9316,1524333679885.076,2062767919943.562,-674017329959.1621,-674017329959.1621,-674017329959.1621,-1583415256260.8557,-1583415256260.8557,-1583415256260.8557,-135583089900.67603,-135583089900.67603,-135583089900.67603,-1044981016202.3696,-1044981016202.3696,-1044981016202.3696
116,POL,6530219434606.041,8459298907440.07,7494794045064.782,7124956069415.267,964574610458.7412,964574610458.7412,964574610458.7412,-964504862375.2881,-964504862375.2881,-964504862375.2881,594736634809.2256,594736634809.2256,594736634809.2256,-1334342838024.8037,-1334342838024.8037,-1334342838024.8037
117,PRT,2549978456599.626,3115604004797.6113,2020965867259.4712,1886039037331.8032,-529012589340.1548,-529012589340.1548,-529012589340.1548,-1094638137538.1401,-1094638137538.1401,-1094638137538.1401,-663939419267.8228,-663939419267.8228,-663939419267.8228,-1229564967465.808,-1229564967465.808,-1229564967465.808
118,PRY,806433149732.4032,991330836636.363,1292313157087.674,1545014025954.7153,485880007355.2709,485880007355.2709,485880007355.2709,300982320451.31104,300982320451.31104,300982320451.31104,738580876222.3121,738580876222.3121,738580876222.3121,553683189318.3523,553683189318.3523,553683189318.3523
119,QAT,156765730155.48087,181032189639.68146,493063569051.02014,673283840443.7928,336297838895.5393,336297838895.5393,336297838895.5393,312031379411.3387,312031379411.3387,312031379411.3387,516518110288.312,516518110288.312,516518110288.312,492251650804.1114,492251650804.1114,492251650804.1114
120,ROU,6075853600666.358,7036613262135.154,3912132944604.145,3606244867046.4614,-2163720656062.2134,-2163720656062.2134,-2163720656062.2134,-3124480317531.0093,-3124480317531.0093,-3124480317531.0093,-2469608733619.897,-2469608733619.897,-2469608733619.897,-3430368395088.693,-3430368395088.693,-3430368395088.693
121,RUS,31371724434155.773,36100563882827.06,28112221168037.707,27495419757738.277,-3259503266118.0664,-3259503266118.0664,-3259503266118.0664,-7988342714789.355,-7988342714789.355,-7988342714789.355,-3876304676417.496,-3876304676417.496,-3876304676417.496,-8605144125088.785,-8605144125088.785,-8605144125088.785
122,RWA,3731882096085.145,4944321630547.421,2210382059010.8286,3128099997303.0166,-1521500037074.3164,-1521500037074.3164,-1521500037074.3164,-2733939571536.5923,-2733939571536.5923,-2733939571536.5923,-603782098782.1284,-603782098782.1284,-603782098782.1284,-1816221633244.4043,-1816221633244.4043,-1816221633244.4043
123,SAU,3568208707043.0713,4064355003966.75,6143649167344.127,7922205839071.594,2575440460301.0557,2575440460301.0557,2575440460301.0557,2079294163377.377,2079294163377.377,2079294163377.377,4353997132028.5225,4353997132028.5225,4353997132028.5225,3857850835104.8438,3857850835104.8438,3857850835104.8438
124,SEN,880299198721.7228,1106719695264.0837,2826784285204.4253,4312011923696.6,1946485086482.7026,1946485086482.7026,1946485086482.7026,1720064589940.3416,1720064589940.3416,1720064589940.3416,3431712724974.8774,3431712724974.8774,3431712724974.8774,3205292228432.5166,3205292228432.5166,3205292228432.5166
125,SGP,734679449012.4567,807804858711.7391,1082495384798.9805,1256165544138.5923,347815935786.5238,347815935786.5238,347815935786.5238,274690526087.24133,274690526087.24133,274690526087.24133,521486095126.1356,521486095126.1356,521486095126.1356,448360685426.85315,448360685426.85315,448360685426.85315
126,SLB,330581942140.58685,467248246312.59717,112823322410.25548,151807080743.71033,-217758619730.33136,-217758619730.33136,-217758619730.33136,-354424923902.3417,-354424923902.3417,-354424923902.3417,-178774861396.87653,-178774861396.87653,-178774861396.87653,-315441165568.88684,-315441165568.88684,-315441165568.88684
127,SLE,850510499441.1735,1113341299665.3196,1382479163095.917,1899131780612.6433,531968663654.7435,531968663654.7435,531968663654.7435,269137863430.5974,269137863430.5974,269137863430.5974,1048621281171.4698,1048621281171.4698,1048621281171.4698,785790480947.3237,785790480947.3237,785790480947.3237
128,SLV,677672638079.2706,751599123425.4186,1231245045430.813,1325380399426.3596,553572407351.5424,553572407351.5424,553572407351.5424,479645922005.3944,479645922005.3944,479645922005.3944,647707761347.089,647707761347.089,647707761347.089,573781276000.941,573781276000.941,573781276000.941
129,STP,5042363750.406975,6168131811.917503,37091841184.02261,52140312751.15201,32049477433.61564,32049477433.61564,32049477433.61564,30923709372.10511,30923709372.10511,30923709372.10511,47097949000.74503,47097949000.74503,47097949000.74503,45972180939.234505,45972180939.234505,45972180939.234505
130,SUR,52924056929.25205,60750890761.86714,108331798152.41187,121959454122.01208,55407741223.15981,55407741223.15981,55407741223.15981,47580907390.54472,47580907390.54472,47580907390.54472,69035397192.76004,69035397192.76004,69035397192.76004,61208563360.14494,61208563360.14494,61208563360.14494
131,SVK,790109456510.8077,897718719413.2114,1070711809304.2981,1060618629382.6926,280602352793.49036,280602352793.49036,280602352793.49036,172993089891.08667,172993089891.08667,172993089891.08667,270509172871.8849,270509172871.8849,270509172871.8849,162899909969.4812,162899909969.4812,162899909969.4812
132,SVN,396299525131.8874,463028685819.72156,402286495434.5121,397211979038.7857,5986970302.624695,5986970302.624695,5986970302.624695,-60742190385.20947,-60742190385.20947,-60742190385.20947,912453906.8983154,912453906.8983154,912453906.8983154,-65816706780.93585,-65816706780.93585,-65816706780.93585
133,SWE,1517978821129.5508,1895143783034.5095,1876810491577.7305,2072747691209.4731,358831670448.1797,358831670448.1797,358831670448.1797,-18333291456.779053,-18333291456.779053,-18333291456.779053,554768870079.9224,554768870079.9224,554768870079.9224,177603908174.96362,177603908174.96362,177603908174.96362
134,SWZ,35960342571.80574,44331902735.02296,253359510142.15573,326316877946.68475,217399167570.34998,217399167570.34998,217399167570.34998,209027607407.13278,209027607407.13278,209027607407.13278,290356535374.879,290356535374.879,290356535374.879,281984975211.6618,281984975211.6618,281984975211.6618
135,SYC,14505354661.633549,17472508918.96325,18340774004.182724,19266601131.73452,3835419342.5491753,3835419342.5491753,3835419342.5491753,868265085.2194748,868265085.2194748,868265085.2194748,4761246470.100971,4761246470.100971,4761246470.100971,1794092212.7712708,1794092212.7712708,1794092212.7712708
136,SYR,3682541014818.9575,4336033262640.183,3778741378135.5947,5212697671041.14,96200363316.6372,96200363316.6372,96200363316.6372,-557291884504.5884,-557291884504.5884,-557291884504.5884,1530156656222.1821,1530156656222.1821,1530156656222.1821,876664408400.9565,876664408400.9565,876664408400.9565
137,TGO,227822510785.7917,275974170821.9119,1410992860453.3003,2055749510129.6467,1183170349667.5085,1183170349667.5085,1183170349667.5085,1135018689631.3884,1135018689631.3884,1135018689631.3884,1827926999343.855,1827926999343.855,1827926999343.855,1779775339307.7349,1779775339307.7349,1779775339307.7349
138,THA,3917533489816.471,4842561024826.123,13545295965831.229,13737413135406.504,9627762476014.758,9627762476014.758,9627762476014.758,8702734941005.105,8702734941005.105,8702734941005.105,9819879645590.033,9819879645590.033,9819879645590.033,8894852110580.38,8894852110580.38,8894852110580.38
139,TON,29601931421.00377,40821342065.46161,20668254637.71317,23645853560.44572,-8933676783.2906,-8933676783.2906,-8933676783.2906,-20153087427.74844,-20153087427.74844,-20153087427.74844,-5956077860.558048,-5956077860.558048,-5956077860.558048,-17175488505.015888,-17175488505.015888,-17175488505.015888
140,TTO,125657894396.29178,139268274541.74463,268204924505.77332,272765024502.63422,142547030109.48154,142547030109.48154,142547030109.48154,128936649964.02869,128936649964.02869,128936649964.02869,147107130106.34244,147107130106.34244,147107130106.34244,133496749960.88959,133496749960.88959,133496749960.88959
141,TUN,2796904917577.7515,3606840743699.5444,2192280656220.464,2531210142558.4854,-604624261357.2874,-604624261357.2874,-604624261357.2874,-1414560087479.0803,-1414560087479.0803,-1414560087479.0803,-265694775019.2661,-265694775019.2661,-265694775019.2661,-1075630601141.0591,-1075630601141.0591,-1075630601141.0591
142,TUR,15408091919456.746,19583148246944.324,15197950681133.062,17468626931117.32,-210141238323.6836,-210141238323.6836,-210141238323.6836,-4385197565811.2617,-4385197565811.2617,-4385197565811.2617,2060535011660.5742,2060535011660.5742,2060535011660.5742,-2114521315827.004,-2114521315827.004,-2114521315827.004
143,TZA,13176142777382.355,17397353211049.682,10123280117262.861,16245098341890.502,-3052862660119.494,-3052862660119.494,-3052862660119.494,-7274073093786.82,-7274073093786.82,-7274073093786.82,3068955564508.1465,3068955564508.1465,3068955564508.1465,-1152254869159.1797,-1152254869159.1797,-1152254869159.1797
144,UGA,8020850252333.473,10631857715128.096,7497145820443.813,12335399618546.775,-523704431889.6592,-523704431889.6592,-523704431889.6592,-3134711894684.282,-3134711894684.282,-3134711894684.282,4314549366213.3027,4314549366213.3027,4314549366213.3027,1703541903418.6797,1703541903418.6797,1703541903418.6797
145,UKR,11532403209797.715,13522311808621.246,8789900874336.29,8083740145998.949,-2742502335461.425,-2742502335461.425,-2742502335461.425,-4732410934284.956,-4732410934284.956,-4732410934284.956,-3448663063798.7656,-3448663063798.7656,-3448663063798.7656,-5438571662622.297,-5438571662622.297,-5438571662622.297
146,URY,1101870863537.2073,1373610889432.5234,662039647428.9479,693237726281.5299,-439831216108.2594,-439831216108.2594,-439831216108.2594,-711571242003.5756,-711571242003.5756,-711571242003.5756,-408633137255.67737,-408633137255.67737,-408633137255.67737,-680373163150.9935,-680373163150.9935,-680373163150.9935
147,USA,69442239393469.945,84359889564197.06,62117375019984.445,68920647922922.0,-7324864373485.5,-7324864373485.5,-7324864373485.5,-22242514544212.617,-22242514544212.617,-22242514544212.617,-521591470547.9453,-521591470547.9453,-521591470547.9453,-15439241641275.062,-15439241641275.062,-15439241641275.062
148,VCT,36075118262.05739,43747182755.417755,21627829405.92414,22080306969.053566,-14447288856.133247,-14447288856.133247,-14447288856.133247,-22119353349.493614,-22119353349.493614,-22119353349.493614,-13994811293.003822,-13994811293.003822,-13994811293.003822,-21666875786.36419,-21666875786.36419,-21666875786.36419
149,VEN,3296015517010.151,4115494724843.552,6060527075894.588,7248013915273.672,2764511558884.437,2764511558884.437,2764511558884.437,1945032351051.0361,1945032351051.0361,1945032351051.0361,3951998398263.521,3951998398263.521,3951998398263.521,3132519190430.12,3132519190430.12,3132519190430.12
150,VUT,19240941716.302612,22964372552.465668,50802157913.82686,69721001774.35774,31561216197.524246,31561216197.524246,31561216197.524246,27837785361.36119,27837785361.36119,27837785361.36119,50480060058.05513,50480060058.05513,50480060058.05513,46756629221.892075,46756629221.892075,46756629221.892075
151,YEM,1376859382866.8503,1622483174708.6028,5134585482976.236,7211236124085.206,3757726100109.3857,3757726100109.3857,3757726100109.3857,3512102308267.634,3512102308267.634,3512102308267.634,5834376741218.355,5834376741218.355,5834376741218.355,5588752949376.604,5588752949376.604,5588752949376.604
152,ZAF,7165798148180.408,8780220433326.447,10763755123774.111,12752068074144.043,3597956975593.703,3597956975593.703,3597956975593.703,1983534690447.664,1983534690447.664,1983534690447.664,5586269925963.635,5586269925963.635,5586269925963.635,3971847640817.5957,3971847640817.5957,3971847640817.5957
153,ZMB,824449765891.3578,1042942224691.9882,3032543100817.6714,4820174025119.875,2208093334926.3135,2208093334926.3135,2208093334926.3135,1989600876125.683,1989600876125.683,1989600876125.683,3995724259228.517,3995724259228.517,3995724259228.517,3777231800427.8867,3777231800427.8867,3777231800427.8867
154,ZWE,250287379927.53717,293258926164.6121,2989425798947.011,4195625894338.316,2739138419019.474,2739138419019.474,2739138419019.474,2696166872782.399,2696166872782.399,2696166872782.399,3945338514410.779,3945338514410.779,3945338514410.779,3902366968173.7036,3902366968173.7036,3902366968173.7036
